UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-12-04T00:00:00.000000000,2024-07-17 00:00:00,3.1,470.81,469.71403
2022-12-04T01:00:00.000000000,2024-07-17 00:00:00,3.1,482.47,491.65055
2022-12-04T02:00:00.000000000,2024-07-17 00:00:00,3.1,497.19,499.60881
2022-12-04T03:00:00.000000000,2024-07-17 00:00:00,3.1,519.1,513.43013
2022-12-04T04:00:00.000000000,2024-07-17 00:00:00,3.1,515.55,535.52645
2022-12-04T05:00:00.000000000,2024-07-17 00:00:00,3.1,493.17,539.47624
2022-12-04T06:00:00.000000000,2024-07-17 00:00:00,3.1,499.53,531.55666
2022-12-04T07:00:00.000000000,2024-07-17 00:00:00,3.1,515.87,516.35515
2022-12-04T08:00:00.000000000,2024-07-17 00:00:00,3.1,525.67,524.05445
2022-12-04T09:00:00.000000000,2024-07-17 00:00:00,3.1,543.5,535.94686
2022-12-04T10:00:00.000000000,2024-07-17 00:00:00,3.1,544.11,513.18174
2022-12-04T11:00:00.000000000,2024-07-17 00:00:00,3.1,560.5,531.33293
2022-12-04T12:00:00.000000000,2024-07-17 00:00:00,3.1,552.34,529.0667
2022-12-04T13:00:00.000000000,2024-07-17 00:00:00,3.1,546.86,527.98618
2022-12-04T14:00:00.000000000,2024-07-17 00:00:00,3.1,540.77,505.94906
2022-12-04T15:00:00.000000000,2024-07-17 00:00:00,3.1,524.5,497.29468
2022-12-04T16:00:00.000000000,2024-07-17 00:00:00,3.1,509.29,470.01616
2022-12-04T17:00:00.000000000,2024-07-17 00:00:00,3.1,504.36,448.75456
2022-12-04T18:00:00.000000000,2024-07-17 00:00:00,3.1,494.03,421.69057
2022-12-04T19:00:00.000000000,2024-07-17 00:00:00,3.1,469.24,428.29884
2022-12-04T20:00:00.000000000,2024-07-17 00:00:00,3.1,437.84,417.56545
2022-12-04T21:00:00.000000000,2024-07-17 00:00:00,3.1,401.7,436.63639
2022-12-04T22:00:00.000000000,2024-07-17 00:00:00,3.1,406.56,433.26066
2022-12-04T23:00:00.000000000,2024-07-17 00:00:00,3.1,434.57,455.05019
2022-12-05T00:00:00.000000000,2024-07-17 00:00:00,3.1,472.11,456.03148
2022-12-05T01:00:00.000000000,2024-07-17 00:00:00,3.1,503.53,472.00627
2022-12-05T02:00:00.000000000,2024-07-17 00:00:00,3.1,503.74,481.9115
2022-12-05T03:00:00.000000000,2024-07-17 00:00:00,3.1,496.66,498.37682
2022-12-05T04:00:00.000000000,2024-07-17 00:00:00,3.1,496.37,516.93516
