UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-11-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,511.04,455.4939
2023-11-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,524.16,481.68043
2023-11-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,525.94,501.47622
2023-11-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,547.43,511.21344
2023-11-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,547.81,521.79441
2023-11-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,533.67,521.7522
2023-11-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,496.7,515.43126
2023-11-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,486.1,510.16832
2023-11-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,506.95,507.72335
2023-11-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,485.34,508.47506
2023-11-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,476.38,512.20182
2023-11-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,476.46,517.55427
2023-11-17T12:00:00.000000000,2024-07-17 00:00:00,3.1,482.3,516.9026
2023-11-17T13:00:00.000000000,2024-07-17 00:00:00,3.1,497.87,509.61227
2023-11-17T14:00:00.000000000,2024-07-17 00:00:00,3.1,500.92,499.22111
2023-11-17T15:00:00.000000000,2024-07-17 00:00:00,3.1,514.78,487.36606
2023-11-17T16:00:00.000000000,2024-07-17 00:00:00,3.1,454.07,472.43984
2023-11-17T17:00:00.000000000,2024-07-17 00:00:00,3.1,386.13,462.10737
2023-11-17T18:00:00.000000000,2024-07-17 00:00:00,3.1,366.73,441.86714
2023-11-17T19:00:00.000000000,2024-07-17 00:00:00,3.1,391.26,432.03921
2023-11-17T20:00:00.000000000,2024-07-17 00:00:00,3.1,417.8,426.631
2023-11-17T21:00:00.000000000,2024-07-17 00:00:00,3.1,428.68,434.18543
2023-11-17T22:00:00.000000000,2024-07-17 00:00:00,3.1,429.62,453.77967
2023-11-17T23:00:00.000000000,2024-07-17 00:00:00,3.1,446.8,466.56642
2023-11-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,537.61,463.10674
2023-11-18T01:00:00.000000000,2024-07-17 00:00:00,3.1,614.26,486.72019
