UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-07T00:00:00.000000000,2024-07-17 00:00:00,3.1,45.37,270.62711
2022-07-07T01:00:00.000000000,2024-07-17 00:00:00,3.1,60.02,304.91509
2022-07-07T02:00:00.000000000,2024-07-17 00:00:00,3.1,56.24,339.43774
2022-07-07T03:00:00.000000000,2024-07-17 00:00:00,3.1,61.88,365.54604
2022-07-07T04:00:00.000000000,2024-07-17 00:00:00,3.1,89.41,390.91208
2022-07-07T05:00:00.000000000,2024-07-17 00:00:00,3.1,94.88,406.26277
2022-07-07T06:00:00.000000000,2024-07-17 00:00:00,3.1,86.33,404.81593
2022-07-07T07:00:00.000000000,2024-07-17 00:00:00,3.1,83.41,414.98259
2022-07-07T08:00:00.000000000,2024-07-17 00:00:00,3.1,81.9,414.99084
2022-07-07T09:00:00.000000000,2024-07-17 00:00:00,3.1,53.62,400.81089
2022-07-07T10:00:00.000000000,2024-07-17 00:00:00,3.1,59.04,391.41453
2022-07-07T11:00:00.000000000,2024-07-17 00:00:00,3.1,56.61,393.73373
2022-07-07T12:00:00.000000000,2024-07-17 00:00:00,3.1,84.43,399.00161
2022-07-07T13:00:00.000000000,2024-07-17 00:00:00,3.1,71.54,405.60956
2022-07-07T14:00:00.000000000,2024-07-17 00:00:00,3.1,102.14,420.60657
2022-07-07T15:00:00.000000000,2024-07-17 00:00:00,3.1,64.03,423.51381
2022-07-07T16:00:00.000000000,2024-07-17 00:00:00,3.1,54.38,424.86713
2022-07-07T17:00:00.000000000,2024-07-17 00:00:00,3.1,45.88,418.59838
2022-07-07T18:00:00.000000000,2024-07-17 00:00:00,3.1,39.92,426.84795
2022-07-07T19:00:00.000000000,2024-07-17 00:00:00,3.1,43.17,413.65387
2022-07-07T20:00:00.000000000,2024-07-17 00:00:00,3.1,47.76,403.81931
2022-07-07T21:00:00.000000000,2024-07-17 00:00:00,3.1,55.65,391.63829
2022-07-07T22:00:00.000000000,2024-07-17 00:00:00,3.1,47.59,379.62489
2022-07-07T23:00:00.000000000,2024-07-17 00:00:00,3.1,46.15,392.63335
2022-07-08T00:00:00.000000000,2024-07-17 00:00:00,3.1,52.82,456.18163
2022-07-08T01:00:00.000000000,2024-07-17 00:00:00,3.1,49.05,481.84852
2022-07-08T02:00:00.000000000,2024-07-17 00:00:00,3.1,59.07,504.61006
2022-07-08T03:00:00.000000000,2024-07-17 00:00:00,3.1,73.72,519.25007
2022-07-08T04:00:00.000000000,2024-07-17 00:00:00,3.1,79.37,532.67678
2022-07-08T05:00:00.000000000,2024-07-17 00:00:00,3.1,87.65,544.25517
2022-07-08T06:00:00.000000000,2024-07-17 00:00:00,3.1,87.28,542.96492
2022-07-08T07:00:00.000000000,2024-07-17 00:00:00,3.1,70.79,544.97887
2022-07-08T08:00:00.000000000,2024-07-17 00:00:00,3.1,61.61,538.87556
2022-07-08T09:00:00.000000000,2024-07-17 00:00:00,3.1,54.53,527.13482
2022-07-08T10:00:00.000000000,2024-07-17 00:00:00,3.1,54.1,516.46908
2022-07-08T11:00:00.000000000,2024-07-17 00:00:00,3.1,62.79,505.06917
2022-07-08T12:00:00.000000000,2024-07-17 00:00:00,3.1,60.29,496.38302
2022-07-08T13:00:00.000000000,2024-07-17 00:00:00,3.1,45.13,489.49834
2022-07-08T14:00:00.000000000,2024-07-17 00:00:00,3.1,55.83,482.53675
2022-07-08T15:00:00.000000000,2024-07-17 00:00:00,3.1,42.79,470.01167
2022-07-08T16:00:00.000000000,2024-07-17 00:00:00,3.1,39.71,453.32306
2022-07-08T17:00:00.000000000,2024-07-17 00:00:00,3.1,40.66,440.67062
2022-07-08T18:00:00.000000000,2024-07-17 00:00:00,3.1,43.23,433.8233
2022-07-08T19:00:00.000000000,2024-07-17 00:00:00,3.1,40.6,423.75778
2022-07-08T20:00:00.000000000,2024-07-17 00:00:00,3.1,39.96,418.63011
