UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-10-15T00:00:00.000000000,2024-07-17 00:00:00,3.1,96.39,253.52687
2022-10-15T01:00:00.000000000,2024-07-17 00:00:00,3.1,93.41,255.33114
2022-10-15T02:00:00.000000000,2024-07-17 00:00:00,3.1,114.47,278.48691
2022-10-15T03:00:00.000000000,2024-07-17 00:00:00,3.1,136.11,311.89954
2022-10-15T04:00:00.000000000,2024-07-17 00:00:00,3.1,98.27,346.67912
2022-10-15T05:00:00.000000000,2024-07-17 00:00:00,3.1,104.08,382.01343
2022-10-15T06:00:00.000000000,2024-07-17 00:00:00,3.1,158.25,410.30332
2022-10-15T07:00:00.000000000,2024-07-17 00:00:00,3.1,170.38,444.24952
2022-10-15T08:00:00.000000000,2024-07-17 00:00:00,3.1,172.09,457.53439
2022-10-15T09:00:00.000000000,2024-07-17 00:00:00,3.1,119.94,473.29514
2022-10-15T10:00:00.000000000,2024-07-17 00:00:00,3.1,128.15,489.34139
2022-10-15T11:00:00.000000000,2024-07-17 00:00:00,3.1,140.06,506.32114
2022-10-15T12:00:00.000000000,2024-07-17 00:00:00,3.1,151.31,519.16565
2022-10-15T13:00:00.000000000,2024-07-17 00:00:00,3.1,204.56,543.1565
2022-10-15T14:00:00.000000000,2024-07-17 00:00:00,3.1,128.98,533.18309
2022-10-15T15:00:00.000000000,2024-07-17 00:00:00,3.1,143.34,528.17085
2022-10-15T16:00:00.000000000,2024-07-17 00:00:00,3.1,101.42,514.79867
2022-10-15T17:00:00.000000000,2024-07-17 00:00:00,3.1,98.52,515.86614
2022-10-15T18:00:00.000000000,2024-07-17 00:00:00,3.1,93.85,505.48456
2022-10-15T19:00:00.000000000,2024-07-17 00:00:00,3.1,96.14,457.27081
2022-10-15T20:00:00.000000000,2024-07-17 00:00:00,3.1,91.33,468.85056
2022-10-15T21:00:00.000000000,2024-07-17 00:00:00,3.1,91.08,457.21516
2022-10-15T22:00:00.000000000,2024-07-17 00:00:00,3.1,86.87,438.75401
2022-10-15T23:00:00.000000000,2024-07-17 00:00:00,3.1,80.18,446.2912
2022-10-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,77.56,489.02348
2022-10-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,91.97,507.07279
2022-10-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,110.92,519.18048
2022-10-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,122.35,533.65174
2022-10-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,108.23,555.56634
2022-10-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,112.51,569.80205
2022-10-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,134.55,597.97506
2022-10-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,190.74,599.47248
2022-10-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,203.6,608.09192
2022-10-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,201.05,627.95777
2022-10-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,167.53,632.13276
2022-10-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,208.65,631.9584
2022-10-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,208.36,628.86341
2022-10-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,198.75,609.95932
2022-10-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,210.89,612.23751
2022-10-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,193.56,588.41394
2022-10-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,105.04,572.6267
2022-10-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,96.18,520.17493
2022-10-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,89.29,526.21635
2022-10-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,86.18,484.40446
2022-10-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,98.35,462.38218
2022-10-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,97.9,445.00529
2022-10-16T22:00:00.000000000,2024-07-17 00:00:00,3.1,98.0,434.44327
2022-10-16T23:00:00.000000000,2024-07-17 00:00:00,3.1,86.19,414.3286
2022-10-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,98.06,497.92676
2022-10-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,105.02,523.28345
2022-10-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,100.54,539.01316
2022-10-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,105.71,556.9553
2022-10-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,105.41,581.034
2022-10-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,159.19,607.4649
2022-10-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,106.23,642.69682
2022-10-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,139.28,647.76146
2022-10-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,168.19,654.57041
2022-10-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,172.21,667.43366
2022-10-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,168.84,684.00787
2022-10-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,167.69,682.08074
2022-10-17T12:00:00.000000000,2024-07-17 00:00:00,3.1,156.09,673.44439
2022-10-17T13:00:00.000000000,2024-07-17 00:00:00,3.1,178.16,661.74521
2022-10-17T14:00:00.000000000,2024-07-17 00:00:00,3.1,106.24,664.9901
2022-10-17T15:00:00.000000000,2024-07-17 00:00:00,3.1,102.89,637.59211
2022-10-17T16:00:00.000000000,2024-07-17 00:00:00,3.1,110.28,621.11042
2022-10-17T17:00:00.000000000,2024-07-17 00:00:00,3.1,90.05,588.69835
2022-10-17T18:00:00.000000000,2024-07-17 00:00:00,3.1,86.27,590.47869
2022-10-17T19:00:00.000000000,2024-07-17 00:00:00,3.1,82.97,556.297
2022-10-17T20:00:00.000000000,2024-07-17 00:00:00,3.1,82.2,535.20639
2022-10-17T21:00:00.000000000,2024-07-17 00:00:00,3.1,80.69,520.37828
2022-10-17T22:00:00.000000000,2024-07-17 00:00:00,3.1,90.98,512.15851
2022-10-17T23:00:00.000000000,2024-07-17 00:00:00,3.1,89.94,495.72963
2022-10-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,90.32,540.17415
2022-10-18T01:00:00.000000000,2024-07-17 00:00:00,3.1,88.14,563.86022
2022-10-18T02:00:00.000000000,2024-07-17 00:00:00,3.1,131.09,577.87412
2022-10-18T03:00:00.000000000,2024-07-17 00:00:00,3.1,93.56,592.16518
2022-10-18T04:00:00.000000000,2024-07-17 00:00:00,3.1,92.27,619.51606
2022-10-18T05:00:00.000000000,2024-07-17 00:00:00,3.1,139.97,646.47002
2022-10-18T06:00:00.000000000,2024-07-17 00:00:00,3.1,120.72,676.82404
2022-10-18T07:00:00.000000000,2024-07-17 00:00:00,3.1,107.65,682.16709
2022-10-18T08:00:00.000000000,2024-07-17 00:00:00,3.1,163.28,693.539
2022-10-18T09:00:00.000000000,2024-07-17 00:00:00,3.1,195.14,701.96058
2022-10-18T10:00:00.000000000,2024-07-17 00:00:00,3.1,84.09,722.58599
2022-10-18T11:00:00.000000000,2024-07-17 00:00:00,3.1,68.99,709.8303
2022-10-18T12:00:00.000000000,2024-07-17 00:00:00,3.1,128.73,692.15425
2022-10-18T13:00:00.000000000,2024-07-17 00:00:00,3.1,85.12,679.93677
2022-10-18T14:00:00.000000000,2024-07-17 00:00:00,3.1,75.1,682.7495
2022-10-18T15:00:00.000000000,2024-07-17 00:00:00,3.1,85.08,649.29475
2022-10-18T16:00:00.000000000,2024-07-17 00:00:00,3.1,127.09,629.69299
2022-10-18T17:00:00.000000000,2024-07-17 00:00:00,3.1,94.05,601.66844
2022-10-18T18:00:00.000000000,2024-07-17 00:00:00,3.1,93.02,599.87948
2022-10-18T19:00:00.000000000,2024-07-17 00:00:00,3.1,84.64,567.31563
2022-10-18T20:00:00.000000000,2024-07-17 00:00:00,3.1,92.55,547.98179
2022-10-18T21:00:00.000000000,2024-07-17 00:00:00,3.1,84.69,540.35026
2022-10-18T22:00:00.000000000,2024-07-17 00:00:00,3.1,76.06,535.0247
2022-10-18T23:00:00.000000000,2024-07-17 00:00:00,3.1,92.27,523.01549
