UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-28 00:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 01:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 02:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 03:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 04:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 05:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 06:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 07:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 08:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 09:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 10:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 11:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 12:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 13:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 14:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 15:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 16:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 17:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 18:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 19:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 20:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 21:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 22:00:00,2024-07-17 00:00:00,3.1,,
2023-08-28 23:00:00,2024-07-17 00:00:00,3.1,316.9,320.39224
2023-08-29 00:00:00,2024-07-17 00:00:00,3.1,326.22,320.2957
2023-08-29 01:00:00,2024-07-17 00:00:00,3.1,331.18,317.31546
2023-08-29 02:00:00,2024-07-17 00:00:00,3.1,323.66,313.43599
2023-08-29 03:00:00,2024-07-17 00:00:00,3.1,317.66,307.21523
2023-08-29 04:00:00,2024-07-17 00:00:00,3.1,291.31,300.28401
2023-08-29 05:00:00,2024-07-17 00:00:00,3.1,299.63,295.32684
2023-08-29 06:00:00,2024-07-17 00:00:00,3.1,295.26,292.23653
2023-08-29 07:00:00,2024-07-17 00:00:00,3.1,290.37,291.08864
2023-08-29 08:00:00,2024-07-17 00:00:00,3.1,290.89,291.83477
2023-08-29 09:00:00,2024-07-17 00:00:00,3.1,291.79,295.95961
2023-08-29 10:00:00,2024-07-17 00:00:00,3.1,298.2,300.1778
2023-08-29 11:00:00,2024-07-17 00:00:00,3.1,303.04,305.02795
2023-08-29 12:00:00,2024-07-17 00:00:00,3.1,301.37,308.05711
2023-08-29 13:00:00,2024-07-17 00:00:00,3.1,303.38,310.81243
2023-08-29 14:00:00,2024-07-17 00:00:00,3.1,307.52,311.96273
2023-08-29 15:00:00,2024-07-17 00:00:00,3.1,309.29,311.70316
2023-08-29 16:00:00,2024-07-17 00:00:00,3.1,307.92,310.56745
2023-08-29 17:00:00,2024-07-17 00:00:00,3.1,305.07,309.69577
2023-08-29 18:00:00,2024-07-17 00:00:00,3.1,306.05,310.09847
2023-08-29 19:00:00,2024-07-17 00:00:00,3.1,309.53,311.54781
2023-08-29 20:00:00,2024-07-17 00:00:00,3.1,313.15,312.7813
2023-08-29 21:00:00,2024-07-17 00:00:00,3.1,314.51,315.91494
2023-08-29 22:00:00,2024-07-17 00:00:00,3.1,319.82,318.83021
2023-08-29 23:00:00,2024-07-17 00:00:00,3.1,319.01,321.99781
2023-08-30 00:00:00,2024-07-17 00:00:00,3.1,323.43,322.65663
2023-08-30 01:00:00,2024-07-17 00:00:00,3.1,319.83,319.59755
2023-08-30 02:00:00,2024-07-17 00:00:00,3.1,313.42,315.35889
2023-08-30 03:00:00,2024-07-17 00:00:00,3.1,309.49,308.62707
2023-08-30 04:00:00,2024-07-17 00:00:00,3.1,307.74,300.68613
2023-08-30 05:00:00,2024-07-17 00:00:00,3.1,300.25,294.24819
2023-08-30 06:00:00,2024-07-17 00:00:00,3.1,292.1,289.46826
2023-08-30 07:00:00,2024-07-17 00:00:00,3.1,289.3,285.91843
2023-08-30 08:00:00,2024-07-17 00:00:00,3.1,289.15,284.04102
2023-08-30 09:00:00,2024-07-17 00:00:00,3.1,290.04,286.0017
2023-08-30 10:00:00,2024-07-17 00:00:00,3.1,298.99,287.72532
2023-08-30 11:00:00,2024-07-17 00:00:00,3.1,300.89,290.87292
2023-08-30 12:00:00,2024-07-17 00:00:00,3.1,297.69,292.90936
2023-08-30 13:00:00,2024-07-17 00:00:00,3.1,297.41,295.10205
2023-08-30 14:00:00,2024-07-17 00:00:00,3.1,297.42,296.29784
2023-08-30 15:00:00,2024-07-17 00:00:00,3.1,298.73,296.85885
2023-08-30 16:00:00,2024-07-17 00:00:00,3.1,298.09,296.48967
2023-08-30 17:00:00,2024-07-17 00:00:00,3.1,296.82,296.68507
2023-08-30 18:00:00,2024-07-17 00:00:00,3.1,296.53,298.06705
2023-08-30 19:00:00,2024-07-17 00:00:00,3.1,301.97,300.774
2023-08-30 20:00:00,2024-07-17 00:00:00,3.1,303.78,302.69964
2023-08-30 21:00:00,2024-07-17 00:00:00,3.1,303.7,306.4391
