UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-06-30T00:00:00.000000000,2024-07-17 00:00:00,3.1,253.71,306.72907
2023-06-30T01:00:00.000000000,2024-07-17 00:00:00,3.1,239.39,327.59614
2023-06-30T02:00:00.000000000,2024-07-17 00:00:00,3.1,287.91,330.94237
2023-06-30T03:00:00.000000000,2024-07-17 00:00:00,3.1,398.53,352.8218
2023-06-30T04:00:00.000000000,2024-07-17 00:00:00,3.1,404.32,360.56758
2023-06-30T05:00:00.000000000,2024-07-17 00:00:00,3.1,314.92,365.58621
2023-06-30T06:00:00.000000000,2024-07-17 00:00:00,3.1,288.95,382.49444
2023-06-30T07:00:00.000000000,2024-07-17 00:00:00,3.1,327.8,381.08277
2023-06-30T08:00:00.000000000,2024-07-17 00:00:00,3.1,324.64,402.46973
2023-06-30T09:00:00.000000000,2024-07-17 00:00:00,3.1,331.3,397.05951
2023-06-30T10:00:00.000000000,2024-07-17 00:00:00,3.1,323.14,399.07165
2023-06-30T11:00:00.000000000,2024-07-17 00:00:00,3.1,335.36,404.72511
2023-06-30T12:00:00.000000000,2024-07-17 00:00:00,3.1,352.34,413.23207
2023-06-30T13:00:00.000000000,2024-07-17 00:00:00,3.1,397.86,404.50993
2023-06-30T14:00:00.000000000,2024-07-17 00:00:00,3.1,426.84,405.46853
2023-06-30T15:00:00.000000000,2024-07-17 00:00:00,3.1,411.6,396.54075
2023-06-30T16:00:00.000000000,2024-07-17 00:00:00,3.1,425.55,391.02035
2023-06-30T17:00:00.000000000,2024-07-17 00:00:00,3.1,400.99,393.6378
2023-06-30T18:00:00.000000000,2024-07-17 00:00:00,3.1,375.03,389.22441
2023-06-30T19:00:00.000000000,2024-07-17 00:00:00,3.1,338.19,374.58158
2023-06-30T20:00:00.000000000,2024-07-17 00:00:00,3.1,311.1,358.82073
2023-06-30T21:00:00.000000000,2024-07-17 00:00:00,3.1,371.49,361.64516
2023-06-30T22:00:00.000000000,2024-07-17 00:00:00,3.1,353.33,364.22594
2023-06-30T23:00:00.000000000,2024-07-17 00:00:00,3.1,332.86,370.18447
2023-07-01T00:00:00.000000000,2024-07-17 00:00:00,3.1,360.04,346.09406
2023-07-01T01:00:00.000000000,2024-07-17 00:00:00,3.1,438.35,352.28221
2023-07-01T02:00:00.000000000,2024-07-17 00:00:00,3.1,422.18,353.09998
2023-07-01T03:00:00.000000000,2024-07-17 00:00:00,3.1,432.84,363.08223
2023-07-01T04:00:00.000000000,2024-07-17 00:00:00,3.1,471.17,363.70423
2023-07-01T05:00:00.000000000,2024-07-17 00:00:00,3.1,474.88,365.45817
