Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,wind,other
37296,2023-04-04 00:00:00,2024-07-17 00:00:00,3.1,287.6,0,576.0,44.0,148.0,27.0
37297,2023-04-04 01:00:00,2024-07-17 00:00:00,3.1,308.56,0,741.0,46.0,124.0,26.0
37298,2023-04-04 02:00:00,2024-07-17 00:00:00,3.1,238.31,0,729.0,142.0,299.0,27.0
37299,2023-04-04 03:00:00,2024-07-17 00:00:00,3.1,259.38,0,852.0,135.0,260.0,26.0
37300,2023-04-04 04:00:00,2024-07-17 00:00:00,3.1,293.96,0,859.0,45.0,203.0,27.0
37301,2023-04-04 05:00:00,2024-07-17 00:00:00,3.1,300.89,0,859.0,45.0,176.0,26.0
37302,2023-04-04 06:00:00,2024-07-17 00:00:00,3.1,298.9,0,862.0,47.0,183.0,27.0
37303,2023-04-04 07:00:00,2024-07-17 00:00:00,3.1,288.24,0,836.0,45.0,219.0,27.0
37304,2023-04-04 08:00:00,2024-07-17 00:00:00,3.1,294.9,0,857.0,44.0,198.0,25.0
37305,2023-04-04 09:00:00,2024-07-17 00:00:00,3.1,299.61,0,818.0,46.0,171.0,27.0
37306,2023-04-04 10:00:00,2024-07-17 00:00:00,3.1,302.43,0,835.0,45.0,165.0,26.0
37307,2023-04-04 11:00:00,2024-07-17 00:00:00,3.1,328.31,0,858.0,45.0,85.0,28.0
37308,2023-04-04 12:00:00,2024-07-17 00:00:00,3.1,332.87,0,864.0,45.0,71.0,27.0
37309,2023-04-04 13:00:00,2024-07-17 00:00:00,3.1,307.26,0,863.0,142.0,56.0,25.0
37310,2023-04-04 14:00:00,2024-07-17 00:00:00,3.1,309.63,0,866.0,143.0,49.0,27.0
37311,2023-04-04 15:00:00,2024-07-17 00:00:00,3.1,314.28,0,889.0,140.0,40.0,27.0
37312,2023-04-04 16:00:00,2024-07-17 00:00:00,3.1,345.21,0,887.0,48.0,33.0,26.0
37313,2023-04-04 17:00:00,2024-07-17 00:00:00,3.1,349.86,0,862.0,44.0,23.0,27.0
37314,2023-04-04 18:00:00,2024-07-17 00:00:00,3.1,353.96,0,767.0,45.0,6.0,26.0
37315,2023-04-04 19:00:00,2024-07-17 00:00:00,3.1,355.94,0,769.0,46.0,1.0,27.0
37316,2023-04-04 20:00:00,2024-07-17 00:00:00,3.1,357.69,0,784.0,43.0,1.0,28.0
37317,2023-04-04 21:00:00,2024-07-17 00:00:00,3.1,356.23,0,777.0,45.0,1.0,26.0
37318,2023-04-04 22:00:00,2024-07-17 00:00:00,3.1,345.52,0,735.0,45.0,25.0,27.0
37319,2023-04-04 23:00:00,2024-07-17 00:00:00,3.1,346.01,0,747.0,45.0,24.0,26.0
