UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-01-30 00:00:00,2024-07-17 00:00:00,3.1,351.45,274.30336
2023-01-30 01:00:00,2024-07-17 00:00:00,3.1,354.95,273.94534
2023-01-30 02:00:00,2024-07-17 00:00:00,3.1,344.05,272.82548
2023-01-30 03:00:00,2024-07-17 00:00:00,3.1,309.72,277.08393
2023-01-30 04:00:00,2024-07-17 00:00:00,3.1,308.14,275.7515
2023-01-30 05:00:00,2024-07-17 00:00:00,3.1,304.05,278.18155
2023-01-30 06:00:00,2024-07-17 00:00:00,3.1,336.93,277.77432
2023-01-30 07:00:00,2024-07-17 00:00:00,3.1,342.8,287.27755
2023-01-30 08:00:00,2024-07-17 00:00:00,3.1,329.03,288.69603
2023-01-30 09:00:00,2024-07-17 00:00:00,3.1,333.29,292.42901
2023-01-30 10:00:00,2024-07-17 00:00:00,3.1,350.4,294.86695
2023-01-30 11:00:00,2024-07-17 00:00:00,3.1,354.1,293.38361
2023-01-30 12:00:00,2024-07-17 00:00:00,3.1,349.98,293.13719
2023-01-30 13:00:00,2024-07-17 00:00:00,3.1,330.83,297.9826
2023-01-30 14:00:00,2024-07-17 00:00:00,3.1,308.07,299.40287
2023-01-30 15:00:00,2024-07-17 00:00:00,3.1,302.86,301.5928
2023-01-30 16:00:00,2024-07-17 00:00:00,3.1,307.0,294.7074
2023-01-30 17:00:00,2024-07-17 00:00:00,3.1,314.55,293.99075
2023-01-30 18:00:00,2024-07-17 00:00:00,3.1,319.45,295.46929
2023-01-30 19:00:00,2024-07-17 00:00:00,3.1,326.89,294.66647
2023-01-30 20:00:00,2024-07-17 00:00:00,3.1,321.47,295.51953
2023-01-30 21:00:00,2024-07-17 00:00:00,3.1,332.98,292.25416
2023-01-30 22:00:00,2024-07-17 00:00:00,3.1,340.9,294.42607
2023-01-30 23:00:00,2024-07-17 00:00:00,3.1,337.12,291.37635
2023-01-31 00:00:00,2024-07-17 00:00:00,3.1,338.77,241.71039
2023-01-31 01:00:00,2024-07-17 00:00:00,3.1,331.46,243.18353
2023-01-31 02:00:00,2024-07-17 00:00:00,3.1,313.84,245.20623
2023-01-31 03:00:00,2024-07-17 00:00:00,3.1,310.46,250.34017
2023-01-31 04:00:00,2024-07-17 00:00:00,3.1,315.65,251.38847
2023-01-31 05:00:00,2024-07-17 00:00:00,3.1,335.49,255.85049
2023-01-31 06:00:00,2024-07-17 00:00:00,3.1,344.84,261.92873
2023-01-31 07:00:00,2024-07-17 00:00:00,3.1,353.25,270.78653
2023-01-31 08:00:00,2024-07-17 00:00:00,3.1,351.36,277.78653
