UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-03-28 00:00:00,2024-07-17 00:00:00,3.1,424.49,397.37359
2023-03-28 01:00:00,2024-07-17 00:00:00,3.1,427.13,400.46058
2023-03-28 02:00:00,2024-07-17 00:00:00,3.1,428.22,395.1065
2023-03-28 03:00:00,2024-07-17 00:00:00,3.1,413.46,403.48725
2023-03-28 04:00:00,2024-07-17 00:00:00,3.1,397.11,402.7301
2023-03-28 05:00:00,2024-07-17 00:00:00,3.1,386.22,402.30571
2023-03-28 06:00:00,2024-07-17 00:00:00,3.1,383.91,404.00217
2023-03-28 07:00:00,2024-07-17 00:00:00,3.1,412.82,401.55852
2023-03-28 08:00:00,2024-07-17 00:00:00,3.1,418.52,397.36355
2023-03-28 09:00:00,2024-07-17 00:00:00,3.1,408.51,399.00296
2023-03-28 10:00:00,2024-07-17 00:00:00,3.1,400.12,390.2199
2023-03-28 11:00:00,2024-07-17 00:00:00,3.1,391.19,402.21481
2023-03-28 12:00:00,2024-07-17 00:00:00,3.1,380.2,405.11309
2023-03-28 13:00:00,2024-07-17 00:00:00,3.1,345.57,408.39405
2023-03-28 14:00:00,2024-07-17 00:00:00,3.1,347.69,404.98494
2023-03-28 15:00:00,2024-07-17 00:00:00,3.1,322.81,403.85604
2023-03-28 16:00:00,2024-07-17 00:00:00,3.1,325.0,410.67092
2023-03-28 17:00:00,2024-07-17 00:00:00,3.1,356.91,414.1324
2023-03-28 18:00:00,2024-07-17 00:00:00,3.1,351.24,406.17199
2023-03-28 19:00:00,2024-07-17 00:00:00,3.1,346.35,416.0328
2023-03-28 20:00:00,2024-07-17 00:00:00,3.1,344.56,418.51298
2023-03-28 21:00:00,2024-07-17 00:00:00,3.1,339.9,415.12917
2023-03-28 22:00:00,2024-07-17 00:00:00,3.1,340.43,412.14024
2023-03-28 23:00:00,2024-07-17 00:00:00,3.1,343.98,408.22121
2023-03-29 00:00:00,2024-07-17 00:00:00,3.1,356.14,391.33849
2023-03-29 01:00:00,2024-07-17 00:00:00,3.1,351.66,394.54815
2023-03-29 02:00:00,2024-07-17 00:00:00,3.1,357.72,384.3789
2023-03-29 03:00:00,2024-07-17 00:00:00,3.1,361.23,395.89215
2023-03-29 04:00:00,2024-07-17 00:00:00,3.1,357.4,391.47049
2023-03-29 05:00:00,2024-07-17 00:00:00,3.1,354.28,388.7162
2023-03-29 06:00:00,2024-07-17 00:00:00,3.1,354.39,394.62657
2023-03-29 07:00:00,2024-07-17 00:00:00,3.1,353.7,390.82512
2023-03-29 08:00:00,2024-07-17 00:00:00,3.1,356.03,386.21457
2023-03-29 09:00:00,2024-07-17 00:00:00,3.1,359.23,387.68456
2023-03-29 10:00:00,2024-07-17 00:00:00,3.1,358.16,377.42291
2023-03-29 11:00:00,2024-07-17 00:00:00,3.1,362.65,392.03781
2023-03-29 12:00:00,2024-07-17 00:00:00,3.1,364.61,397.62798
2023-03-29 13:00:00,2024-07-17 00:00:00,3.1,347.06,404.19542
2023-03-29 14:00:00,2024-07-17 00:00:00,3.1,358.76,399.60682
2023-03-29 15:00:00,2024-07-17 00:00:00,3.1,359.57,397.19899
2023-03-29 16:00:00,2024-07-17 00:00:00,3.1,354.63,405.94709
2023-03-29 17:00:00,2024-07-17 00:00:00,3.1,366.97,412.12616
2023-03-29 18:00:00,2024-07-17 00:00:00,3.1,410.14,405.12338
2023-03-29 19:00:00,2024-07-17 00:00:00,3.1,420.92,414.83036
2023-03-29 20:00:00,2024-07-17 00:00:00,3.1,427.23,420.65222
2023-03-29 21:00:00,2024-07-17 00:00:00,3.1,444.02,415.26926
2023-03-29 22:00:00,2024-07-17 00:00:00,3.1,451.17,410.25261
2023-03-29 23:00:00,2024-07-17 00:00:00,3.1,456.81,406.04311
2023-03-30 00:00:00,2024-07-17 00:00:00,3.1,453.62,394.27617
2023-03-30 01:00:00,2024-07-17 00:00:00,3.1,449.35,396.02821
2023-03-30 02:00:00,2024-07-17 00:00:00,3.1,428.72,385.59249
2023-03-30 03:00:00,2024-07-17 00:00:00,3.1,423.17,394.02357
2023-03-30 04:00:00,2024-07-17 00:00:00,3.1,414.98,384.7546
2023-03-30 05:00:00,2024-07-17 00:00:00,3.1,414.73,382.31101
2023-03-30 06:00:00,2024-07-17 00:00:00,3.1,382.75,387.53271
2023-03-30 07:00:00,2024-07-17 00:00:00,3.1,412.92,381.10056
2023-03-30 08:00:00,2024-07-17 00:00:00,3.1,413.58,370.59187
2023-03-30 09:00:00,2024-07-17 00:00:00,3.1,417.66,374.89577
2023-03-30 10:00:00,2024-07-17 00:00:00,3.1,405.15,357.37401
2023-03-30 11:00:00,2024-07-17 00:00:00,3.1,400.81,370.80181
2023-03-30 12:00:00,2024-07-17 00:00:00,3.1,409.76,378.05476
2023-03-30 13:00:00,2024-07-17 00:00:00,3.1,387.25,384.4898
2023-03-30 14:00:00,2024-07-17 00:00:00,3.1,408.67,376.1341
2023-03-30 15:00:00,2024-07-17 00:00:00,3.1,375.71,370.40851
2023-03-30 16:00:00,2024-07-17 00:00:00,3.1,399.56,380.13406
2023-03-30 17:00:00,2024-07-17 00:00:00,3.1,376.28,388.60333
2023-03-30 18:00:00,2024-07-17 00:00:00,3.1,335.06,381.9177
2023-03-30 19:00:00,2024-07-17 00:00:00,3.1,328.93,391.64995
2023-03-30 20:00:00,2024-07-17 00:00:00,3.1,323.5,397.95048
2023-03-30 21:00:00,2024-07-17 00:00:00,3.1,321.45,393.56693
2023-03-30 22:00:00,2024-07-17 00:00:00,3.1,307.31,389.37915
2023-03-30 23:00:00,2024-07-17 00:00:00,3.1,307.48,381.89305
2023-03-31 00:00:00,2024-07-17 00:00:00,3.1,302.14,378.45736
2023-03-31 01:00:00,2024-07-17 00:00:00,3.1,302.9,381.53054
2023-03-31 02:00:00,2024-07-17 00:00:00,3.1,310.16,370.31812
2023-03-31 03:00:00,2024-07-17 00:00:00,3.1,321.63,381.16803
2023-03-31 04:00:00,2024-07-17 00:00:00,3.1,328.29,372.14995
2023-03-31 05:00:00,2024-07-17 00:00:00,3.1,319.57,367.56482
2023-03-31 06:00:00,2024-07-17 00:00:00,3.1,304.7,375.95509
2023-03-31 07:00:00,2024-07-17 00:00:00,3.1,308.03,371.09359
2023-03-31 08:00:00,2024-07-17 00:00:00,3.1,301.93,362.16825
2023-03-31 09:00:00,2024-07-17 00:00:00,3.1,287.44,363.84064
2023-03-31 10:00:00,2024-07-17 00:00:00,3.1,281.94,349.44118
2023-03-31 11:00:00,2024-07-17 00:00:00,3.1,286.31,363.95953
2023-03-31 12:00:00,2024-07-17 00:00:00,3.1,298.16,373.14978
2023-03-31 13:00:00,2024-07-17 00:00:00,3.1,292.64,381.67784
2023-03-31 14:00:00,2024-07-17 00:00:00,3.1,316.39,374.90148
2023-03-31 15:00:00,2024-07-17 00:00:00,3.1,305.14,368.74338
2023-03-31 16:00:00,2024-07-17 00:00:00,3.1,305.54,381.56043
