UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-11-04T00:00:00.000000000,2024-07-17 00:00:00,3.1,348.01,343.1164
2022-11-04T01:00:00.000000000,2024-07-17 00:00:00,3.1,342.58,341.89695
2022-11-04T02:00:00.000000000,2024-07-17 00:00:00,3.1,337.89,336.77455
2022-11-04T03:00:00.000000000,2024-07-17 00:00:00,3.1,340.21,329.2543
2022-11-04T04:00:00.000000000,2024-07-17 00:00:00,3.1,337.82,321.50284
2022-11-04T05:00:00.000000000,2024-07-17 00:00:00,3.1,306.85,314.67764
2022-11-04T06:00:00.000000000,2024-07-17 00:00:00,3.1,296.11,307.56052
2022-11-04T07:00:00.000000000,2024-07-17 00:00:00,3.1,295.38,301.46032
2022-11-04T08:00:00.000000000,2024-07-17 00:00:00,3.1,272.9,295.57808
2022-11-04T09:00:00.000000000,2024-07-17 00:00:00,3.1,248.7,291.32132
2022-11-04T10:00:00.000000000,2024-07-17 00:00:00,3.1,239.74,288.5359
2022-11-04T11:00:00.000000000,2024-07-17 00:00:00,3.1,233.33,287.86245
2022-11-04T12:00:00.000000000,2024-07-17 00:00:00,3.1,232.76,285.81109
2022-11-04T13:00:00.000000000,2024-07-17 00:00:00,3.1,227.64,283.76728
2022-11-04T14:00:00.000000000,2024-07-17 00:00:00,3.1,232.02,283.1439
2022-11-04T15:00:00.000000000,2024-07-17 00:00:00,3.1,237.38,284.50396
2022-11-04T16:00:00.000000000,2024-07-17 00:00:00,3.1,246.13,285.77436
2022-11-04T17:00:00.000000000,2024-07-17 00:00:00,3.1,247.82,284.64225
2022-11-04T18:00:00.000000000,2024-07-17 00:00:00,3.1,248.79,286.11942
2022-11-04T19:00:00.000000000,2024-07-17 00:00:00,3.1,251.94,286.05624
2022-11-04T20:00:00.000000000,2024-07-17 00:00:00,3.1,252.25,289.6042
2022-11-04T21:00:00.000000000,2024-07-17 00:00:00,3.1,254.03,293.81095
2022-11-04T22:00:00.000000000,2024-07-17 00:00:00,3.1,243.91,298.34956
