Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown
39792,2023-07-17 00:00:00,2024-07-17 00:00:00,3.1,655.26,2830.0,1.0,393.0,5.0,30.0,27.0,0.0,0.0,0.0,0.0
39793,2023-07-17 01:00:00,2024-07-17 00:00:00,3.1,669.62,2863.0,1.0,327.0,5.0,30.0,27.0,0.0,0.0,0.0,0.0
39794,2023-07-17 02:00:00,2024-07-17 00:00:00,3.1,676.04,2870.0,1.0,299.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39795,2023-07-17 03:00:00,2024-07-17 00:00:00,3.1,673.73,2862.0,1.0,309.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39796,2023-07-17 04:00:00,2024-07-17 00:00:00,3.1,665.88,2850.0,1.0,345.0,1.0,30.0,27.0,0.0,0.0,0.0,0.0
39797,2023-07-17 05:00:00,2024-07-17 00:00:00,3.1,574.63,2850.0,1.0,862.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39798,2023-07-17 06:00:00,2024-07-17 00:00:00,3.1,524.45,2855.0,1.0,1225.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39799,2023-07-17 07:00:00,2024-07-17 00:00:00,3.1,498.56,2861.0,1.0,1443.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39800,2023-07-17 08:00:00,2024-07-17 00:00:00,3.1,489.19,2869.0,1.0,1531.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39801,2023-07-17 09:00:00,2024-07-17 00:00:00,3.1,509.54,2861.0,1.0,1349.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39802,2023-07-17 10:00:00,2024-07-17 00:00:00,3.1,503.33,2842.0,1.0,1392.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39803,2023-07-17 11:00:00,2024-07-17 00:00:00,3.1,495.77,2798.0,1.0,1434.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39804,2023-07-17 12:00:00,2024-07-17 00:00:00,3.1,506.51,2810.0,1.0,1349.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39805,2023-07-17 13:00:00,2024-07-17 00:00:00,3.1,508.64,2789.0,1.0,1321.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39806,2023-07-17 14:00:00,2024-07-17 00:00:00,3.1,487.62,2786.0,1.0,1499.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39807,2023-07-17 15:00:00,2024-07-17 00:00:00,3.1,499.68,2849.0,1.0,1427.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39808,2023-07-17 16:00:00,2024-07-17 00:00:00,3.1,508.7,2962.0,1.0,1406.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39809,2023-07-17 17:00:00,2024-07-17 00:00:00,3.1,525.84,2956.0,1.0,1259.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39810,2023-07-17 18:00:00,2024-07-17 00:00:00,3.1,526.27,2984.0,1.0,1268.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39811,2023-07-17 19:00:00,2024-07-17 00:00:00,3.1,518.33,2984.0,1.0,1334.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
39812,2023-07-17 20:00:00,2024-07-17 00:00:00,3.1,561.63,3029.0,1.0,1010.0,9.0,30.0,27.0,0.0,0.0,0.0,0.0
39813,2023-07-17 21:00:00,2024-07-17 00:00:00,3.1,578.09,2968.0,1.0,848.0,96.0,30.0,27.0,0.0,0.0,0.0,0.0
39814,2023-07-17 22:00:00,2024-07-17 00:00:00,3.1,604.05,2918.0,1.0,654.0,128.0,30.0,27.0,0.0,0.0,0.0,0.0
39815,2023-07-17 23:00:00,2024-07-17 00:00:00,3.1,625.45,2851.0,1.0,538.0,51.0,30.0,27.0,0.0,0.0,0.0,0.0
