Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
39000,2023-06-14 00:00:00,2024-07-17 00:00:00,3.1,673.6,1615.0,806.0,0.0,115.0,23.0,27.0
39001,2023-06-14 01:00:00,2024-07-17 00:00:00,3.1,696.52,1670.0,755.0,0.0,72.0,3.0,27.0
39002,2023-06-14 02:00:00,2024-07-17 00:00:00,3.1,709.29,1767.0,669.0,0.0,71.0,0.0,29.0
39003,2023-06-14 03:00:00,2024-07-17 00:00:00,3.1,709.14,1572.0,644.0,0.0,48.0,0.0,28.0
39004,2023-06-14 04:00:00,2024-07-17 00:00:00,3.1,712.71,1353.0,644.0,0.0,2.0,0.0,28.0
39005,2023-06-14 05:00:00,2024-07-17 00:00:00,3.1,704.22,1204.0,647.0,0.0,1.0,0.0,29.0
39006,2023-06-14 06:00:00,2024-07-17 00:00:00,3.1,695.73,1081.0,647.0,0.0,2.0,0.0,26.0
39007,2023-06-14 07:00:00,2024-07-17 00:00:00,3.1,687.93,983.0,651.0,0.0,2.0,0.0,29.0
39008,2023-06-14 08:00:00,2024-07-17 00:00:00,3.1,682.65,919.0,651.0,0.0,2.0,0.0,29.0
39009,2023-06-14 09:00:00,2024-07-17 00:00:00,3.1,682.24,920.0,655.0,0.0,2.0,0.0,28.0
39010,2023-06-14 10:00:00,2024-07-17 00:00:00,3.1,665.41,826.0,726.0,0.0,2.0,0.0,27.0
39011,2023-06-14 11:00:00,2024-07-17 00:00:00,3.1,662.87,818.0,728.0,0.0,1.0,5.0,28.0
39012,2023-06-14 12:00:00,2024-07-17 00:00:00,3.1,652.42,885.0,749.0,0.0,2.0,44.0,28.0
39013,2023-06-14 13:00:00,2024-07-17 00:00:00,3.1,642.52,943.0,735.0,0.0,2.0,93.0,27.0
39014,2023-06-14 14:00:00,2024-07-17 00:00:00,3.1,642.94,957.0,747.0,0.0,2.0,93.0,29.0
39015,2023-06-14 15:00:00,2024-07-17 00:00:00,3.1,662.38,1195.0,748.0,0.0,2.0,96.0,30.0
39016,2023-06-14 16:00:00,2024-07-17 00:00:00,3.1,677.39,1301.0,740.0,0.0,2.0,73.0,27.0
39017,2023-06-14 17:00:00,2024-07-17 00:00:00,3.1,684.93,1422.0,731.0,0.0,3.0,75.0,27.0
39018,2023-06-14 18:00:00,2024-07-17 00:00:00,3.1,675.55,1422.0,746.0,0.0,8.0,99.0,27.0
39019,2023-06-14 19:00:00,2024-07-17 00:00:00,3.1,651.45,1361.0,725.0,0.0,72.0,113.0,28.0
39020,2023-06-14 20:00:00,2024-07-17 00:00:00,3.1,652.76,1432.0,729.0,0.0,84.0,114.0,27.0
39021,2023-06-14 21:00:00,2024-07-17 00:00:00,3.1,655.37,1465.0,734.0,0.0,130.0,64.0,30.0
39022,2023-06-14 22:00:00,2024-07-17 00:00:00,3.1,663.37,1432.0,742.0,0.0,128.0,24.0,28.0
39023,2023-06-14 23:00:00,2024-07-17 00:00:00,3.1,669.64,1493.0,746.0,0.0,125.0,17.0,28.0
