UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-12-02 00:00:00,2024-07-17 00:00:00,3.1,,
2022-12-02 01:00:00,2024-07-17 00:00:00,3.1,,
2022-12-02 02:00:00,2024-07-17 00:00:00,3.1,588.09,598.09912
2022-12-02 03:00:00,2024-07-17 00:00:00,3.1,602.65,604.23331
2022-12-02 04:00:00,2024-07-17 00:00:00,3.1,614.88,598.89316
2022-12-02 05:00:00,2024-07-17 00:00:00,3.1,623.24,602.71015
2022-12-02 06:00:00,2024-07-17 00:00:00,3.1,616.1,600.4374
2022-12-02 07:00:00,2024-07-17 00:00:00,3.1,626.99,601.07097
2022-12-02 08:00:00,2024-07-17 00:00:00,3.1,620.37,604.33092
2022-12-02 09:00:00,2024-07-17 00:00:00,3.1,598.13,609.2226
2022-12-02 10:00:00,2024-07-17 00:00:00,3.1,561.79,603.46022
2022-12-02 11:00:00,2024-07-17 00:00:00,3.1,555.64,608.55939
2022-12-02 12:00:00,2024-07-17 00:00:00,3.1,549.61,599.97047
2022-12-02 13:00:00,2024-07-17 00:00:00,3.1,547.07,597.99048
2022-12-02 14:00:00,2024-07-17 00:00:00,3.1,531.88,594.36119
2022-12-02 15:00:00,2024-07-17 00:00:00,3.1,548.63,588.58203
2022-12-02 16:00:00,2024-07-17 00:00:00,3.1,592.65,592.34547
2022-12-02 17:00:00,2024-07-17 00:00:00,3.1,612.69,599.10236
2022-12-02 18:00:00,2024-07-17 00:00:00,3.1,587.67,589.8105
2022-12-02 19:00:00,2024-07-17 00:00:00,3.1,572.8,602.32356
2022-12-02 20:00:00,2024-07-17 00:00:00,3.1,570.91,594.30493
2022-12-02 21:00:00,2024-07-17 00:00:00,3.1,576.13,596.83958
2022-12-02 22:00:00,2024-07-17 00:00:00,3.1,609.86,594.40625
2022-12-02 23:00:00,2024-07-17 00:00:00,3.1,614.22,595.3095
2022-12-03 00:00:00,2024-07-17 00:00:00,3.1,577.37,588.97861
2022-12-03 01:00:00,2024-07-17 00:00:00,3.1,577.1,590.46665
2022-12-03 02:00:00,2024-07-17 00:00:00,3.1,594.21,580.13933
2022-12-03 03:00:00,2024-07-17 00:00:00,3.1,635.77,588.31292
2022-12-03 04:00:00,2024-07-17 00:00:00,3.1,627.38,583.63588
2022-12-03 05:00:00,2024-07-17 00:00:00,3.1,618.45,586.2901
2022-12-03 06:00:00,2024-07-17 00:00:00,3.1,618.24,586.03773
2022-12-03 07:00:00,2024-07-17 00:00:00,3.1,617.2,586.14172
2022-12-03 08:00:00,2024-07-17 00:00:00,3.1,615.58,587.13144
2022-12-03 09:00:00,2024-07-17 00:00:00,3.1,605.45,590.69768
2022-12-03 10:00:00,2024-07-17 00:00:00,3.1,606.27,585.60129
2022-12-03 11:00:00,2024-07-17 00:00:00,3.1,615.31,587.39822
2022-12-03 12:00:00,2024-07-17 00:00:00,3.1,593.8,581.55482
2022-12-03 13:00:00,2024-07-17 00:00:00,3.1,559.53,582.58639
2022-12-03 14:00:00,2024-07-17 00:00:00,3.1,556.69,578.41242
2022-12-03 15:00:00,2024-07-17 00:00:00,3.1,536.92,573.62066
2022-12-03 16:00:00,2024-07-17 00:00:00,3.1,588.21,576.56081
2022-12-03 17:00:00,2024-07-17 00:00:00,3.1,582.64,576.35016
2022-12-03 18:00:00,2024-07-17 00:00:00,3.1,580.99,570.69611
2022-12-03 19:00:00,2024-07-17 00:00:00,3.1,583.13,583.94854
2022-12-03 20:00:00,2024-07-17 00:00:00,3.1,591.02,577.18453
2022-12-03 21:00:00,2024-07-17 00:00:00,3.1,585.21,577.35842
2022-12-03 22:00:00,2024-07-17 00:00:00,3.1,535.39,574.54636
2022-12-03 23:00:00,2024-07-17 00:00:00,3.1,531.77,576.61157
2022-12-04 00:00:00,2024-07-17 00:00:00,3.1,531.63,574.51038
2022-12-04 01:00:00,2024-07-17 00:00:00,3.1,534.11,574.25408
2022-12-04 02:00:00,2024-07-17 00:00:00,3.1,540.85,569.01746
2022-12-04 03:00:00,2024-07-17 00:00:00,3.1,539.3,574.82919
2022-12-04 04:00:00,2024-07-17 00:00:00,3.1,521.69,569.4454
2022-12-04 05:00:00,2024-07-17 00:00:00,3.1,543.36,569.29669
2022-12-04 06:00:00,2024-07-17 00:00:00,3.1,587.27,572.26866
2022-12-04 07:00:00,2024-07-17 00:00:00,3.1,574.58,571.42555
2022-12-04 08:00:00,2024-07-17 00:00:00,3.1,566.2,571.51879
2022-12-04 09:00:00,2024-07-17 00:00:00,3.1,567.82,575.49367
2022-12-04 10:00:00,2024-07-17 00:00:00,3.1,569.03,568.24271
2022-12-04 11:00:00,2024-07-17 00:00:00,3.1,580.97,572.96444
2022-12-04 12:00:00,2024-07-17 00:00:00,3.1,591.5,568.38395
2022-12-04 13:00:00,2024-07-17 00:00:00,3.1,603.15,568.34051
2022-12-04 14:00:00,2024-07-17 00:00:00,3.1,588.54,562.84524
2022-12-04 15:00:00,2024-07-17 00:00:00,3.1,581.97,562.43029
2022-12-04 16:00:00,2024-07-17 00:00:00,3.1,593.02,567.97451
2022-12-04 17:00:00,2024-07-17 00:00:00,3.1,589.35,563.5113
2022-12-04 18:00:00,2024-07-17 00:00:00,3.1,581.4,558.93294
2022-12-04 19:00:00,2024-07-17 00:00:00,3.1,569.61,573.18809
2022-12-04 20:00:00,2024-07-17 00:00:00,3.1,561.8,565.23392
2022-12-04 21:00:00,2024-07-17 00:00:00,3.1,547.01,569.10566
2022-12-04 22:00:00,2024-07-17 00:00:00,3.1,547.34,566.46634
2022-12-04 23:00:00,2024-07-17 00:00:00,3.1,568.0,570.37073
2022-12-05 00:00:00,2024-07-17 00:00:00,3.1,562.85,567.75839
2022-12-05 01:00:00,2024-07-17 00:00:00,3.1,551.76,565.63004
2022-12-05 02:00:00,2024-07-17 00:00:00,3.1,540.73,564.12908
2022-12-05 03:00:00,2024-07-17 00:00:00,3.1,541.93,570.97443
2022-12-05 04:00:00,2024-07-17 00:00:00,3.1,540.66,565.08947
2022-12-05 05:00:00,2024-07-17 00:00:00,3.1,574.88,565.98993
2022-12-05 06:00:00,2024-07-17 00:00:00,3.1,637.03,568.47636
2022-12-05 07:00:00,2024-07-17 00:00:00,3.1,638.5,570.23694
2022-12-05 08:00:00,2024-07-17 00:00:00,3.1,642.85,567.48403
2022-12-05 09:00:00,2024-07-17 00:00:00,3.1,646.18,573.31638
2022-12-05 10:00:00,2024-07-17 00:00:00,3.1,617.68,567.02169
2022-12-05 11:00:00,2024-07-17 00:00:00,3.1,571.69,570.15168
2022-12-05 12:00:00,2024-07-17 00:00:00,3.1,523.72,567.27338
2022-12-05 13:00:00,2024-07-17 00:00:00,3.1,524.53,566.1052
2022-12-05 14:00:00,2024-07-17 00:00:00,3.1,492.01,561.40529
2022-12-05 15:00:00,2024-07-17 00:00:00,3.1,495.36,563.05056
2022-12-05 16:00:00,2024-07-17 00:00:00,3.1,514.74,563.84596
2022-12-05 17:00:00,2024-07-17 00:00:00,3.1,550.69,560.27564
2022-12-05 18:00:00,2024-07-17 00:00:00,3.1,573.74,559.55475
2022-12-05 19:00:00,2024-07-17 00:00:00,3.1,575.03,570.87584
2022-12-05 20:00:00,2024-07-17 00:00:00,3.1,573.8,563.68693
2022-12-05 21:00:00,2024-07-17 00:00:00,3.1,577.16,566.1294
2022-12-05 22:00:00,2024-07-17 00:00:00,3.1,588.92,563.74407
2022-12-05 23:00:00,2024-07-17 00:00:00,3.1,546.8,566.75526
