UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-09-10T00:00:00.000000000,2024-07-17 00:00:00,3.1,325.5,318.05018
2022-09-10T01:00:00.000000000,2024-07-17 00:00:00,3.1,332.75,322.7448
2022-09-10T02:00:00.000000000,2024-07-17 00:00:00,3.1,331.08,322.55793
2022-09-10T03:00:00.000000000,2024-07-17 00:00:00,3.1,330.82,322.54543
2022-09-10T04:00:00.000000000,2024-07-17 00:00:00,3.1,328.75,323.64496
2022-09-10T05:00:00.000000000,2024-07-17 00:00:00,3.1,328.15,320.80268
2022-09-10T06:00:00.000000000,2024-07-17 00:00:00,3.1,326.28,320.38064
2022-09-10T07:00:00.000000000,2024-07-17 00:00:00,3.1,324.89,319.77504
2022-09-10T08:00:00.000000000,2024-07-17 00:00:00,3.1,324.75,317.99666
2022-09-10T09:00:00.000000000,2024-07-17 00:00:00,3.1,325.65,316.77997
2022-09-10T10:00:00.000000000,2024-07-17 00:00:00,3.1,325.73,317.94596
2022-09-10T11:00:00.000000000,2024-07-17 00:00:00,3.1,325.81,314.3864
2022-09-10T12:00:00.000000000,2024-07-17 00:00:00,3.1,323.82,314.30724
2022-09-10T13:00:00.000000000,2024-07-17 00:00:00,3.1,318.3,302.47338
2022-09-10T14:00:00.000000000,2024-07-17 00:00:00,3.1,310.46,295.8601
2022-09-10T15:00:00.000000000,2024-07-17 00:00:00,3.1,301.56,284.52675
2022-09-10T16:00:00.000000000,2024-07-17 00:00:00,3.1,292.74,276.36576
2022-09-10T17:00:00.000000000,2024-07-17 00:00:00,3.1,283.33,273.70241
2022-09-10T18:00:00.000000000,2024-07-17 00:00:00,3.1,277.27,275.78062
2022-09-10T19:00:00.000000000,2024-07-17 00:00:00,3.1,271.8,281.75887
2022-09-10T20:00:00.000000000,2024-07-17 00:00:00,3.1,260.58,289.12957
2022-09-10T21:00:00.000000000,2024-07-17 00:00:00,3.1,271.72,298.90017
2022-09-10T22:00:00.000000000,2024-07-17 00:00:00,3.1,316.71,308.15688
2022-09-10T23:00:00.000000000,2024-07-17 00:00:00,3.1,346.21,314.33712
2022-09-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,358.85,313.34956
2022-09-11T01:00:00.000000000,2024-07-17 00:00:00,3.1,365.02,316.74729
2022-09-11T02:00:00.000000000,2024-07-17 00:00:00,3.1,379.33,315.90509
2022-09-11T03:00:00.000000000,2024-07-17 00:00:00,3.1,379.33,315.78896
2022-09-11T04:00:00.000000000,2024-07-17 00:00:00,3.1,369.47,321.62239
2022-09-11T05:00:00.000000000,2024-07-17 00:00:00,3.1,362.75,314.30232
2022-09-11T06:00:00.000000000,2024-07-17 00:00:00,3.1,354.03,312.73179
2022-09-11T07:00:00.000000000,2024-07-17 00:00:00,3.1,369.75,316.26774
2022-09-11T08:00:00.000000000,2024-07-17 00:00:00,3.1,353.89,314.49573
2022-09-11T09:00:00.000000000,2024-07-17 00:00:00,3.1,354.5,313.37683
2022-09-11T10:00:00.000000000,2024-07-17 00:00:00,3.1,355.07,316.74583
2022-09-11T11:00:00.000000000,2024-07-17 00:00:00,3.1,355.26,310.26396
2022-09-11T12:00:00.000000000,2024-07-17 00:00:00,3.1,348.15,310.65347
2022-09-11T13:00:00.000000000,2024-07-17 00:00:00,3.1,308.47,297.4501
2022-09-11T14:00:00.000000000,2024-07-17 00:00:00,3.1,290.6,293.51487
2022-09-11T15:00:00.000000000,2024-07-17 00:00:00,3.1,276.83,279.59513
2022-09-11T16:00:00.000000000,2024-07-17 00:00:00,3.1,271.12,271.61738
2022-09-11T17:00:00.000000000,2024-07-17 00:00:00,3.1,275.15,267.48265
2022-09-11T18:00:00.000000000,2024-07-17 00:00:00,3.1,293.55,271.9675
2022-09-11T19:00:00.000000000,2024-07-17 00:00:00,3.1,312.6,274.41726
2022-09-11T20:00:00.000000000,2024-07-17 00:00:00,3.1,311.86,282.31641
2022-09-11T21:00:00.000000000,2024-07-17 00:00:00,3.1,314.31,294.4089
2022-09-11T22:00:00.000000000,2024-07-17 00:00:00,3.1,324.56,300.78623
2022-09-11T23:00:00.000000000,2024-07-17 00:00:00,3.1,347.89,310.53939
2022-09-12T00:00:00.000000000,2024-07-17 00:00:00,3.1,357.23,310.35232
2022-09-12T01:00:00.000000000,2024-07-17 00:00:00,3.1,370.26,314.61215
2022-09-12T02:00:00.000000000,2024-07-17 00:00:00,3.1,382.32,314.01988
2022-09-12T03:00:00.000000000,2024-07-17 00:00:00,3.1,370.71,315.20348
2022-09-12T04:00:00.000000000,2024-07-17 00:00:00,3.1,378.86,320.7731
2022-09-12T05:00:00.000000000,2024-07-17 00:00:00,3.1,357.73,314.00243
2022-09-12T06:00:00.000000000,2024-07-17 00:00:00,3.1,351.79,312.50436
2022-09-12T07:00:00.000000000,2024-07-17 00:00:00,3.1,349.4,316.01104
2022-09-12T08:00:00.000000000,2024-07-17 00:00:00,3.1,331.52,313.65265
2022-09-12T09:00:00.000000000,2024-07-17 00:00:00,3.1,326.48,311.28301
2022-09-12T10:00:00.000000000,2024-07-17 00:00:00,3.1,326.45,313.33065
2022-09-12T11:00:00.000000000,2024-07-17 00:00:00,3.1,327.36,305.17036
2022-09-12T12:00:00.000000000,2024-07-17 00:00:00,3.1,325.72,303.46061
2022-09-12T13:00:00.000000000,2024-07-17 00:00:00,3.1,314.73,291.04338
2022-09-12T14:00:00.000000000,2024-07-17 00:00:00,3.1,292.05,287.10106
2022-09-12T15:00:00.000000000,2024-07-17 00:00:00,3.1,274.41,272.95627
2022-09-12T16:00:00.000000000,2024-07-17 00:00:00,3.1,271.43,266.06707
2022-09-12T17:00:00.000000000,2024-07-17 00:00:00,3.1,283.52,261.05421
2022-09-12T18:00:00.000000000,2024-07-17 00:00:00,3.1,312.01,266.58657
2022-09-12T19:00:00.000000000,2024-07-17 00:00:00,3.1,321.16,270.10711
2022-09-12T20:00:00.000000000,2024-07-17 00:00:00,3.1,324.72,279.15516
2022-09-12T21:00:00.000000000,2024-07-17 00:00:00,3.1,333.52,291.28626
2022-09-12T22:00:00.000000000,2024-07-17 00:00:00,3.1,344.15,297.75671
2022-09-12T23:00:00.000000000,2024-07-17 00:00:00,3.1,358.24,306.75796
2022-09-13T00:00:00.000000000,2024-07-17 00:00:00,3.1,351.69,310.92509
2022-09-13T01:00:00.000000000,2024-07-17 00:00:00,3.1,322.22,315.65113
2022-09-13T02:00:00.000000000,2024-07-17 00:00:00,3.1,318.4,315.07459
2022-09-13T03:00:00.000000000,2024-07-17 00:00:00,3.1,327.11,316.44658
2022-09-13T04:00:00.000000000,2024-07-17 00:00:00,3.1,345.03,318.08586
2022-09-13T05:00:00.000000000,2024-07-17 00:00:00,3.1,351.25,313.99794
2022-09-13T06:00:00.000000000,2024-07-17 00:00:00,3.1,344.7,312.45765
2022-09-13T07:00:00.000000000,2024-07-17 00:00:00,3.1,335.26,312.21743
2022-09-13T08:00:00.000000000,2024-07-17 00:00:00,3.1,334.91,311.029
2022-09-13T09:00:00.000000000,2024-07-17 00:00:00,3.1,335.96,310.25901
2022-09-13T10:00:00.000000000,2024-07-17 00:00:00,3.1,337.77,311.80052
2022-09-13T11:00:00.000000000,2024-07-17 00:00:00,3.1,350.57,307.48099
2022-09-13T12:00:00.000000000,2024-07-17 00:00:00,3.1,345.18,307.496
2022-09-13T13:00:00.000000000,2024-07-17 00:00:00,3.1,308.65,296.40188
2022-09-13T14:00:00.000000000,2024-07-17 00:00:00,3.1,281.43,289.99533
2022-09-13T15:00:00.000000000,2024-07-17 00:00:00,3.1,278.21,277.68245
2022-09-13T16:00:00.000000000,2024-07-17 00:00:00,3.1,278.83,268.86688
2022-09-13T17:00:00.000000000,2024-07-17 00:00:00,3.1,283.46,263.96046
2022-09-13T18:00:00.000000000,2024-07-17 00:00:00,3.1,288.01,267.06297
2022-09-13T19:00:00.000000000,2024-07-17 00:00:00,3.1,293.39,270.31716
2022-09-13T20:00:00.000000000,2024-07-17 00:00:00,3.1,299.5,278.37307
2022-09-13T21:00:00.000000000,2024-07-17 00:00:00,3.1,303.74,288.05871
2022-09-13T22:00:00.000000000,2024-07-17 00:00:00,3.1,298.71,297.42222
2022-09-13T23:00:00.000000000,2024-07-17 00:00:00,3.1,314.46,305.07165
