UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-08-24T00:00:00.000000000,2024-07-17 00:00:00,3.1,412.3,373.35488
2022-08-24T01:00:00.000000000,2024-07-17 00:00:00,3.1,417.54,381.79156
2022-08-24T02:00:00.000000000,2024-07-17 00:00:00,3.1,430.91,385.28867
2022-08-24T03:00:00.000000000,2024-07-17 00:00:00,3.1,423.99,385.92177
2022-08-24T04:00:00.000000000,2024-07-17 00:00:00,3.1,410.09,383.61839
2022-08-24T05:00:00.000000000,2024-07-17 00:00:00,3.1,395.65,382.76805
2022-08-24T06:00:00.000000000,2024-07-17 00:00:00,3.1,381.21,380.23065
2022-08-24T07:00:00.000000000,2024-07-17 00:00:00,3.1,372.73,378.39874
2022-08-24T08:00:00.000000000,2024-07-17 00:00:00,3.1,376.02,377.59707
2022-08-24T09:00:00.000000000,2024-07-17 00:00:00,3.1,387.92,375.03085
2022-08-24T10:00:00.000000000,2024-07-17 00:00:00,3.1,392.86,372.28825
2022-08-24T11:00:00.000000000,2024-07-17 00:00:00,3.1,395.84,364.93779
2022-08-24T12:00:00.000000000,2024-07-17 00:00:00,3.1,393.31,355.67101
2022-08-24T13:00:00.000000000,2024-07-17 00:00:00,3.1,386.4,345.63401
2022-08-24T14:00:00.000000000,2024-07-17 00:00:00,3.1,387.52,333.85201
2022-08-24T15:00:00.000000000,2024-07-17 00:00:00,3.1,376.0,323.35102
2022-08-24T16:00:00.000000000,2024-07-17 00:00:00,3.1,380.44,316.18043
2022-08-24T17:00:00.000000000,2024-07-17 00:00:00,3.1,374.42,313.65213
2022-08-24T18:00:00.000000000,2024-07-17 00:00:00,3.1,372.25,315.73446
2022-08-24T19:00:00.000000000,2024-07-17 00:00:00,3.1,381.69,322.12637
2022-08-24T20:00:00.000000000,2024-07-17 00:00:00,3.1,390.59,330.48039
2022-08-24T21:00:00.000000000,2024-07-17 00:00:00,3.1,398.43,339.0571
2022-08-24T22:00:00.000000000,2024-07-17 00:00:00,3.1,404.85,348.69037
2022-08-24T23:00:00.000000000,2024-07-17 00:00:00,3.1,412.61,358.72984
2022-08-25T00:00:00.000000000,2024-07-17 00:00:00,3.1,426.58,357.40703
2022-08-25T01:00:00.000000000,2024-07-17 00:00:00,3.1,426.47,363.23534
2022-08-25T02:00:00.000000000,2024-07-17 00:00:00,3.1,420.06,365.05556
2022-08-25T03:00:00.000000000,2024-07-17 00:00:00,3.1,417.15,363.54023
2022-08-25T04:00:00.000000000,2024-07-17 00:00:00,3.1,393.39,361.68795
2022-08-25T05:00:00.000000000,2024-07-17 00:00:00,3.1,380.42,361.44759
2022-08-25T06:00:00.000000000,2024-07-17 00:00:00,3.1,377.7,359.07975
2022-08-25T07:00:00.000000000,2024-07-17 00:00:00,3.1,377.39,358.87928
2022-08-25T08:00:00.000000000,2024-07-17 00:00:00,3.1,378.23,358.23248
2022-08-25T09:00:00.000000000,2024-07-17 00:00:00,3.1,378.77,356.0928
2022-08-25T10:00:00.000000000,2024-07-17 00:00:00,3.1,380.88,354.79259
2022-08-25T11:00:00.000000000,2024-07-17 00:00:00,3.1,385.24,346.57313
2022-08-25T12:00:00.000000000,2024-07-17 00:00:00,3.1,398.51,337.95099
2022-08-25T13:00:00.000000000,2024-07-17 00:00:00,3.1,396.0,327.36043
2022-08-25T14:00:00.000000000,2024-07-17 00:00:00,3.1,387.57,315.86511
2022-08-25T15:00:00.000000000,2024-07-17 00:00:00,3.1,373.96,306.15908
2022-08-25T16:00:00.000000000,2024-07-17 00:00:00,3.1,378.62,300.53244
2022-08-25T17:00:00.000000000,2024-07-17 00:00:00,3.1,378.49,299.77734
2022-08-25T18:00:00.000000000,2024-07-17 00:00:00,3.1,384.44,304.02987
2022-08-25T19:00:00.000000000,2024-07-17 00:00:00,3.1,377.99,311.6422
2022-08-25T20:00:00.000000000,2024-07-17 00:00:00,3.1,376.7,322.66357
2022-08-25T21:00:00.000000000,2024-07-17 00:00:00,3.1,379.88,331.42692
2022-08-25T22:00:00.000000000,2024-07-17 00:00:00,3.1,396.92,339.74987
2022-08-25T23:00:00.000000000,2024-07-17 00:00:00,3.1,411.83,347.94706
