UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass
2023-09-23 00:00:00,500.0,29.0,690.0,0.0,426.0,0.0,1.0,16.0
2023-09-23 01:00:00,500.0,30.0,690.0,0.0,415.0,0.0,1.0,16.0
2023-09-23 02:00:00,496.0,30.0,690.0,0.0,375.0,0.0,1.0,16.0
2023-09-23 03:00:00,499.0,32.0,690.0,0.0,390.0,0.0,2.0,16.0
2023-09-23 04:00:00,500.0,32.0,690.0,0.0,574.0,0.0,1.0,17.0
2023-09-23 05:00:00,502.0,32.0,689.0,0.0,787.0,4.0,0.0,16.0
2023-09-23 06:00:00,505.0,32.0,690.0,0.0,826.0,16.0,0.0,16.0
2023-09-23 07:00:00,393.0,32.0,689.0,0.0,784.0,36.0,0.0,17.0
2023-09-23 08:00:00,306.0,31.0,689.0,0.0,867.0,52.0,0.0,17.0
2023-09-23 09:00:00,265.0,30.0,689.0,0.0,860.0,71.0,0.0,17.0
2023-09-23 10:00:00,244.0,31.0,689.0,0.0,795.0,79.0,0.0,17.0
2023-09-23 11:00:00,237.0,30.0,690.0,0.0,672.0,83.0,0.0,16.0
2023-09-23 12:00:00,230.0,30.0,689.0,0.0,529.0,81.0,0.0,16.0
2023-09-23 13:00:00,239.0,30.0,690.0,0.0,675.0,72.0,0.0,16.0
2023-09-23 14:00:00,275.0,30.0,690.0,0.0,671.0,54.0,1.0,17.0
2023-09-23 15:00:00,373.0,32.0,690.0,0.0,853.0,22.0,1.0,16.0
2023-09-23 16:00:00,479.0,35.0,690.0,0.0,863.0,8.0,1.0,16.0
2023-09-23 17:00:00,493.0,36.0,690.0,0.0,885.0,1.0,1.0,16.0
2023-09-23 18:00:00,488.0,36.0,690.0,0.0,881.0,1.0,1.0,16.0
2023-09-23 19:00:00,483.0,30.0,691.0,0.0,861.0,1.0,1.0,16.0
2023-09-23 20:00:00,488.0,30.0,691.0,0.0,855.0,1.0,1.0,16.0
2023-09-23 21:00:00,478.0,30.0,691.0,0.0,856.0,1.0,0.0,17.0
2023-09-23 22:00:00,393.0,29.0,691.0,0.0,857.0,0.0,1.0,14.0
2023-09-23 23:00:00,297.0,29.0,691.0,0.0,832.0,0.0,1.0,14.0
