Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
40920,2023-09-02 00:00:00,2024-07-17 00:00:00,3.1,60.97,85.0,77.0,2317.0,32.0,359.0,0.0,0.0,42.0,139.0
40921,2023-09-02 01:00:00,2024-07-17 00:00:00,3.1,59.63,85.0,77.0,2319.0,32.0,365.0,0.0,0.0,42.0,132.0
40922,2023-09-02 02:00:00,2024-07-17 00:00:00,3.1,60.79,85.0,86.0,2318.0,32.0,364.0,0.0,0.0,40.0,133.0
40923,2023-09-02 03:00:00,2024-07-17 00:00:00,3.1,61.2,85.0,95.0,2320.0,33.0,366.0,0.0,0.0,41.0,130.0
40924,2023-09-02 04:00:00,2024-07-17 00:00:00,3.1,60.88,85.0,93.0,2321.0,33.0,418.0,5.0,0.0,40.0,136.0
40925,2023-09-02 05:00:00,2024-07-17 00:00:00,3.1,58.29,85.0,92.0,2322.0,30.0,467.0,43.0,0.0,41.0,133.0
40926,2023-09-02 06:00:00,2024-07-17 00:00:00,3.1,57.45,84.0,92.0,2320.0,28.0,463.0,106.0,0.0,43.0,137.0
40927,2023-09-02 07:00:00,2024-07-17 00:00:00,3.1,57.33,84.0,89.0,2317.0,27.0,369.0,172.0,0.0,40.0,135.0
40928,2023-09-02 08:00:00,2024-07-17 00:00:00,3.1,57.85,84.0,89.0,2308.0,27.0,331.0,207.0,0.0,41.0,137.0
40929,2023-09-02 09:00:00,2024-07-17 00:00:00,3.1,57.41,84.0,87.0,2298.0,27.0,280.0,265.0,0.0,40.0,135.0
40930,2023-09-02 10:00:00,2024-07-17 00:00:00,3.1,58.67,84.0,88.0,2289.0,27.0,273.0,262.0,0.0,39.0,140.0
40931,2023-09-02 11:00:00,2024-07-17 00:00:00,3.1,57.06,84.0,85.0,2285.0,26.0,268.0,264.0,0.0,41.0,132.0
40932,2023-09-02 12:00:00,2024-07-17 00:00:00,3.1,59.91,85.0,87.0,2281.0,26.0,270.0,196.0,0.0,42.0,139.0
40933,2023-09-02 13:00:00,2024-07-17 00:00:00,3.1,61.27,85.0,90.0,2279.0,26.0,281.0,159.0,0.0,41.0,142.0
40934,2023-09-02 14:00:00,2024-07-17 00:00:00,3.1,60.86,85.0,89.0,2280.0,26.0,305.0,123.0,0.0,42.0,139.0
40935,2023-09-02 15:00:00,2024-07-17 00:00:00,3.1,59.87,85.0,89.0,2280.0,26.0,374.0,70.0,0.0,43.0,135.0
40936,2023-09-02 16:00:00,2024-07-17 00:00:00,3.1,58.23,85.0,93.0,2278.0,29.0,508.0,19.0,0.0,44.0,130.0
40937,2023-09-02 17:00:00,2024-07-17 00:00:00,3.1,59.12,85.0,97.0,2281.0,33.0,584.0,1.0,0.0,41.0,137.0
40938,2023-09-02 18:00:00,2024-07-17 00:00:00,3.1,58.55,85.0,97.0,2286.0,33.0,605.0,0.0,0.0,39.0,136.0
40939,2023-09-02 19:00:00,2024-07-17 00:00:00,3.1,59.66,84.0,96.0,2292.0,32.0,515.0,0.0,0.0,39.0,136.0
40940,2023-09-02 20:00:00,2024-07-17 00:00:00,3.1,60.93,85.0,96.0,2296.0,32.0,504.0,0.0,0.0,33.0,141.0
40941,2023-09-02 21:00:00,2024-07-17 00:00:00,3.1,60.46,85.0,83.0,2299.0,32.0,452.0,0.0,0.0,32.0,140.0
40942,2023-09-02 22:00:00,2024-07-17 00:00:00,3.1,58.92,85.0,77.0,2301.0,32.0,386.0,0.0,0.0,32.0,127.0
40943,2023-09-02 23:00:00,2024-07-17 00:00:00,3.1,59.14,85.0,81.0,2302.0,32.0,386.0,0.0,0.0,32.0,126.0
