UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-04-01T00:00:00.000000000,2024-07-17 00:00:00,3.1,86.25,125.66095
2023-04-01T01:00:00.000000000,2024-07-17 00:00:00,3.1,107.54,137.89507
2023-04-01T02:00:00.000000000,2024-07-17 00:00:00,3.1,151.99,145.21103
2023-04-01T03:00:00.000000000,2024-07-17 00:00:00,3.1,162.11,152.10796
2023-04-01T04:00:00.000000000,2024-07-17 00:00:00,3.1,166.03,156.4344
2023-04-01T05:00:00.000000000,2024-07-17 00:00:00,3.1,160.42,157.49254
2023-04-01T06:00:00.000000000,2024-07-17 00:00:00,3.1,160.0,153.87211
2023-04-01T07:00:00.000000000,2024-07-17 00:00:00,3.1,163.57,145.91367
2023-04-01T08:00:00.000000000,2024-07-17 00:00:00,3.1,161.12,142.68657
2023-04-01T09:00:00.000000000,2024-07-17 00:00:00,3.1,162.07,137.63298
2023-04-01T10:00:00.000000000,2024-07-17 00:00:00,3.1,158.14,131.6395
2023-04-01T11:00:00.000000000,2024-07-17 00:00:00,3.1,157.9,132.52268
2023-04-01T12:00:00.000000000,2024-07-17 00:00:00,3.1,159.31,128.22329
2023-04-01T13:00:00.000000000,2024-07-17 00:00:00,3.1,158.0,129.8022
2023-04-01T14:00:00.000000000,2024-07-17 00:00:00,3.1,149.69,129.48416
2023-04-01T15:00:00.000000000,2024-07-17 00:00:00,3.1,141.74,126.63684
2023-04-01T16:00:00.000000000,2024-07-17 00:00:00,3.1,101.07,123.4442
2023-04-01T17:00:00.000000000,2024-07-17 00:00:00,3.1,73.28,115.77346
2023-04-01T18:00:00.000000000,2024-07-17 00:00:00,3.1,66.33,107.98931
2023-04-01T19:00:00.000000000,2024-07-17 00:00:00,3.1,61.54,102.64041
2023-04-01T20:00:00.000000000,2024-07-17 00:00:00,3.1,62.65,102.47466
2023-04-01T21:00:00.000000000,2024-07-17 00:00:00,3.1,60.41,100.7007
2023-04-01T22:00:00.000000000,2024-07-17 00:00:00,3.1,62.53,106.16306
2023-04-01T23:00:00.000000000,2024-07-17 00:00:00,3.1,61.38,112.2967
2023-04-02T00:00:00.000000000,2024-07-17 00:00:00,3.1,73.69,135.24324
2023-04-02T01:00:00.000000000,2024-07-17 00:00:00,3.1,88.52,146.23921
2023-04-02T02:00:00.000000000,2024-07-17 00:00:00,3.1,140.07,150.25644
2023-04-02T03:00:00.000000000,2024-07-17 00:00:00,3.1,151.98,153.16708
2023-04-02T04:00:00.000000000,2024-07-17 00:00:00,3.1,154.0,155.78235
2023-04-02T05:00:00.000000000,2024-07-17 00:00:00,3.1,153.22,154.38915
2023-04-02T06:00:00.000000000,2024-07-17 00:00:00,3.1,151.23,150.89181
2023-04-02T07:00:00.000000000,2024-07-17 00:00:00,3.1,146.49,145.10676
2023-04-02T08:00:00.000000000,2024-07-17 00:00:00,3.1,145.26,140.10143
2023-04-02T09:00:00.000000000,2024-07-17 00:00:00,3.1,147.02,134.45504
2023-04-02T10:00:00.000000000,2024-07-17 00:00:00,3.1,145.67,129.4799
2023-04-02T11:00:00.000000000,2024-07-17 00:00:00,3.1,146.65,127.58042
2023-04-02T12:00:00.000000000,2024-07-17 00:00:00,3.1,146.89,124.68758
2023-04-02T13:00:00.000000000,2024-07-17 00:00:00,3.1,144.7,124.1666
2023-04-02T14:00:00.000000000,2024-07-17 00:00:00,3.1,136.8,124.7378
2023-04-02T15:00:00.000000000,2024-07-17 00:00:00,3.1,118.46,124.594
2023-04-02T16:00:00.000000000,2024-07-17 00:00:00,3.1,86.26,123.602
2023-04-02T17:00:00.000000000,2024-07-17 00:00:00,3.1,69.81,121.31806
2023-04-02T18:00:00.000000000,2024-07-17 00:00:00,3.1,71.24,118.79262
2023-04-02T19:00:00.000000000,2024-07-17 00:00:00,3.1,70.53,116.59394
2023-04-02T20:00:00.000000000,2024-07-17 00:00:00,3.1,67.64,121.09815
2023-04-02T21:00:00.000000000,2024-07-17 00:00:00,3.1,66.49,119.26375
2023-04-02T22:00:00.000000000,2024-07-17 00:00:00,3.1,62.61,127.02347
2023-04-02T23:00:00.000000000,2024-07-17 00:00:00,3.1,69.13,129.45288
2023-04-03T00:00:00.000000000,2024-07-17 00:00:00,3.1,83.08,148.9198
2023-04-03T01:00:00.000000000,2024-07-17 00:00:00,3.1,96.37,158.34268
2023-04-03T02:00:00.000000000,2024-07-17 00:00:00,3.1,143.96,161.31211
2023-04-03T03:00:00.000000000,2024-07-17 00:00:00,3.1,153.1,163.68123
2023-04-03T04:00:00.000000000,2024-07-17 00:00:00,3.1,154.18,165.23576
2023-04-03T05:00:00.000000000,2024-07-17 00:00:00,3.1,153.17,162.90559
2023-04-03T06:00:00.000000000,2024-07-17 00:00:00,3.1,153.21,159.48106
2023-04-03T07:00:00.000000000,2024-07-17 00:00:00,3.1,154.05,153.79873
2023-04-03T08:00:00.000000000,2024-07-17 00:00:00,3.1,152.91,148.59426
2023-04-03T09:00:00.000000000,2024-07-17 00:00:00,3.1,148.87,143.22286
2023-04-03T10:00:00.000000000,2024-07-17 00:00:00,3.1,145.96,138.46755
2023-04-03T11:00:00.000000000,2024-07-17 00:00:00,3.1,144.0,134.96933
2023-04-03T12:00:00.000000000,2024-07-17 00:00:00,3.1,146.05,131.98804
2023-04-03T13:00:00.000000000,2024-07-17 00:00:00,3.1,150.85,130.11447
2023-04-03T14:00:00.000000000,2024-07-17 00:00:00,3.1,141.76,130.1089
