UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-12T00:00:00.000000000,2024-07-17 00:00:00,3.1,277.43,296.02878
2023-08-12T01:00:00.000000000,2024-07-17 00:00:00,3.1,273.78,307.03031
2023-08-12T02:00:00.000000000,2024-07-17 00:00:00,3.1,279.72,309.63033
2023-08-12T03:00:00.000000000,2024-07-17 00:00:00,3.1,281.5,308.07418
2023-08-12T04:00:00.000000000,2024-07-17 00:00:00,3.1,280.4,304.68523
2023-08-12T05:00:00.000000000,2024-07-17 00:00:00,3.1,287.99,297.0187
2023-08-12T06:00:00.000000000,2024-07-17 00:00:00,3.1,289.37,289.51565
2023-08-12T07:00:00.000000000,2024-07-17 00:00:00,3.1,286.14,279.44203
2023-08-12T08:00:00.000000000,2024-07-17 00:00:00,3.1,281.29,266.67753
2023-08-12T09:00:00.000000000,2024-07-17 00:00:00,3.1,267.87,256.92615
2023-08-12T10:00:00.000000000,2024-07-17 00:00:00,3.1,260.57,252.21938
2023-08-12T11:00:00.000000000,2024-07-17 00:00:00,3.1,253.05,246.58674
2023-08-12T12:00:00.000000000,2024-07-17 00:00:00,3.1,245.75,241.65227
2023-08-12T13:00:00.000000000,2024-07-17 00:00:00,3.1,242.45,242.04957
2023-08-12T14:00:00.000000000,2024-07-17 00:00:00,3.1,246.07,238.95996
2023-08-12T15:00:00.000000000,2024-07-17 00:00:00,3.1,241.54,236.07435
2023-08-12T16:00:00.000000000,2024-07-17 00:00:00,3.1,228.02,232.58725
2023-08-12T17:00:00.000000000,2024-07-17 00:00:00,3.1,232.76,233.05614
2023-08-12T18:00:00.000000000,2024-07-17 00:00:00,3.1,237.58,238.93606
2023-08-12T19:00:00.000000000,2024-07-17 00:00:00,3.1,240.32,251.75085
2023-08-12T20:00:00.000000000,2024-07-17 00:00:00,3.1,242.57,260.97258
2023-08-12T21:00:00.000000000,2024-07-17 00:00:00,3.1,256.64,271.35476
2023-08-12T22:00:00.000000000,2024-07-17 00:00:00,3.1,263.82,280.86105
2023-08-12T23:00:00.000000000,2024-07-17 00:00:00,3.1,269.68,284.60341
2023-08-13T00:00:00.000000000,2024-07-17 00:00:00,3.1,267.24,300.64234
2023-08-13T01:00:00.000000000,2024-07-17 00:00:00,3.1,265.97,310.22814
2023-08-13T02:00:00.000000000,2024-07-17 00:00:00,3.1,277.01,312.97618
2023-08-13T03:00:00.000000000,2024-07-17 00:00:00,3.1,277.53,313.56131
2023-08-13T04:00:00.000000000,2024-07-17 00:00:00,3.1,272.6,313.91807
2023-08-13T05:00:00.000000000,2024-07-17 00:00:00,3.1,276.71,309.18926
2023-08-13T06:00:00.000000000,2024-07-17 00:00:00,3.1,279.21,303.69128
2023-08-13T07:00:00.000000000,2024-07-17 00:00:00,3.1,280.73,293.7689
2023-08-13T08:00:00.000000000,2024-07-17 00:00:00,3.1,280.92,280.01463
2023-08-13T09:00:00.000000000,2024-07-17 00:00:00,3.1,268.75,269.2344
2023-08-13T10:00:00.000000000,2024-07-17 00:00:00,3.1,263.47,262.67996
2023-08-13T11:00:00.000000000,2024-07-17 00:00:00,3.1,268.94,253.82905
2023-08-13T12:00:00.000000000,2024-07-17 00:00:00,3.1,261.81,245.0149
2023-08-13T13:00:00.000000000,2024-07-17 00:00:00,3.1,254.2,242.76641
2023-08-13T14:00:00.000000000,2024-07-17 00:00:00,3.1,246.23,238.57935
2023-08-13T15:00:00.000000000,2024-07-17 00:00:00,3.1,241.88,235.64141
2023-08-13T16:00:00.000000000,2024-07-17 00:00:00,3.1,241.2,234.34499
2023-08-13T17:00:00.000000000,2024-07-17 00:00:00,3.1,245.97,236.98557
2023-08-13T18:00:00.000000000,2024-07-17 00:00:00,3.1,250.53,245.59011
2023-08-13T19:00:00.000000000,2024-07-17 00:00:00,3.1,256.89,260.19437
2023-08-13T20:00:00.000000000,2024-07-17 00:00:00,3.1,267.25,271.68983
2023-08-13T21:00:00.000000000,2024-07-17 00:00:00,3.1,281.2,283.39483
2023-08-13T22:00:00.000000000,2024-07-17 00:00:00,3.1,297.15,292.55208
2023-08-13T23:00:00.000000000,2024-07-17 00:00:00,3.1,298.33,294.69921
2023-08-14T00:00:00.000000000,2024-07-17 00:00:00,3.1,300.38,303.71783
2023-08-14T01:00:00.000000000,2024-07-17 00:00:00,3.1,307.43,312.96159
2023-08-14T02:00:00.000000000,2024-07-17 00:00:00,3.1,304.51,315.65977
2023-08-14T03:00:00.000000000,2024-07-17 00:00:00,3.1,301.14,316.50666
2023-08-14T04:00:00.000000000,2024-07-17 00:00:00,3.1,308.09,317.51438
2023-08-14T05:00:00.000000000,2024-07-17 00:00:00,3.1,304.87,314.25197
2023-08-14T06:00:00.000000000,2024-07-17 00:00:00,3.1,299.72,310.36697
2023-08-14T07:00:00.000000000,2024-07-17 00:00:00,3.1,290.09,301.8507
2023-08-14T08:00:00.000000000,2024-07-17 00:00:00,3.1,297.57,289.27488
2023-08-14T09:00:00.000000000,2024-07-17 00:00:00,3.1,289.74,279.22354
2023-08-14T10:00:00.000000000,2024-07-17 00:00:00,3.1,277.7,273.13016
2023-08-14T11:00:00.000000000,2024-07-17 00:00:00,3.1,270.35,264.06864
2023-08-14T12:00:00.000000000,2024-07-17 00:00:00,3.1,269.46,254.6034
2023-08-14T13:00:00.000000000,2024-07-17 00:00:00,3.1,277.78,251.66341
2023-08-14T14:00:00.000000000,2024-07-17 00:00:00,3.1,266.27,247.21069
2023-08-14T15:00:00.000000000,2024-07-17 00:00:00,3.1,270.62,244.3391
2023-08-14T16:00:00.000000000,2024-07-17 00:00:00,3.1,266.16,242.93704
2023-08-14T17:00:00.000000000,2024-07-17 00:00:00,3.1,268.13,245.75352
2023-08-14T18:00:00.000000000,2024-07-17 00:00:00,3.1,274.68,254.03457
2023-08-14T19:00:00.000000000,2024-07-17 00:00:00,3.1,275.02,267.67008
2023-08-14T20:00:00.000000000,2024-07-17 00:00:00,3.1,269.62,278.24637
2023-08-14T21:00:00.000000000,2024-07-17 00:00:00,3.1,277.17,288.9857
2023-08-14T22:00:00.000000000,2024-07-17 00:00:00,3.1,292.77,296.88291
2023-08-14T23:00:00.000000000,2024-07-17 00:00:00,3.1,294.08,298.62956
2023-08-15T00:00:00.000000000,2024-07-17 00:00:00,3.1,286.29,306.33157
2023-08-15T01:00:00.000000000,2024-07-17 00:00:00,3.1,293.31,316.41315
2023-08-15T02:00:00.000000000,2024-07-17 00:00:00,3.1,300.68,317.91195
2023-08-15T03:00:00.000000000,2024-07-17 00:00:00,3.1,300.72,315.43059
2023-08-15T04:00:00.000000000,2024-07-17 00:00:00,3.1,299.51,311.96245
2023-08-15T05:00:00.000000000,2024-07-17 00:00:00,3.1,305.34,305.35791
2023-08-15T06:00:00.000000000,2024-07-17 00:00:00,3.1,308.64,299.2407
2023-08-15T07:00:00.000000000,2024-07-17 00:00:00,3.1,306.61,290.45602
2023-08-15T08:00:00.000000000,2024-07-17 00:00:00,3.1,306.96,278.44946
2023-08-15T09:00:00.000000000,2024-07-17 00:00:00,3.1,303.13,270.06342
2023-08-15T10:00:00.000000000,2024-07-17 00:00:00,3.1,301.42,266.47447
2023-08-15T11:00:00.000000000,2024-07-17 00:00:00,3.1,301.14,261.44964
