UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-07-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,235.48,231.46236
2023-07-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,238.6,235.2788
2023-07-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,246.03,238.00757
2023-07-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,249.27,238.78654
2023-07-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,244.36,237.98155
2023-07-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,247.25,234.69848
2023-07-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,248.42,230.45846
2023-07-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,247.89,226.1174
2023-07-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,247.15,222.9917
2023-07-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,244.64,217.1261
2023-07-28T10:00:00.000000000,2024-07-17 00:00:00,3.1,237.2,214.18659
2023-07-28T11:00:00.000000000,2024-07-17 00:00:00,3.1,235.39,211.1193
2023-07-28T12:00:00.000000000,2024-07-17 00:00:00,3.1,238.24,208.13306
2023-07-28T13:00:00.000000000,2024-07-17 00:00:00,3.1,243.85,205.82798
2023-07-28T14:00:00.000000000,2024-07-17 00:00:00,3.1,230.4,203.45723
2023-07-28T15:00:00.000000000,2024-07-17 00:00:00,3.1,230.2,202.44125
2023-07-28T16:00:00.000000000,2024-07-17 00:00:00,3.1,231.93,201.87811
2023-07-28T17:00:00.000000000,2024-07-17 00:00:00,3.1,228.32,198.01378
2023-07-28T18:00:00.000000000,2024-07-17 00:00:00,3.1,234.71,197.22305
2023-07-28T19:00:00.000000000,2024-07-17 00:00:00,3.1,237.71,200.71676
2023-07-28T20:00:00.000000000,2024-07-17 00:00:00,3.1,243.81,204.97121
2023-07-28T21:00:00.000000000,2024-07-17 00:00:00,3.1,248.83,210.62222
2023-07-28T22:00:00.000000000,2024-07-17 00:00:00,3.1,252.94,217.30159
2023-07-28T23:00:00.000000000,2024-07-17 00:00:00,3.1,247.81,222.74696
2023-07-29T00:00:00.000000000,2024-07-17 00:00:00,3.1,248.25,224.14578
2023-07-29T01:00:00.000000000,2024-07-17 00:00:00,3.1,247.15,227.28134
2023-07-29T02:00:00.000000000,2024-07-17 00:00:00,3.1,253.42,230.39937
2023-07-29T03:00:00.000000000,2024-07-17 00:00:00,3.1,258.14,230.62515
2023-07-29T04:00:00.000000000,2024-07-17 00:00:00,3.1,266.55,229.90454
2023-07-29T05:00:00.000000000,2024-07-17 00:00:00,3.1,261.29,227.27644
2023-07-29T06:00:00.000000000,2024-07-17 00:00:00,3.1,260.59,222.87742
2023-07-29T07:00:00.000000000,2024-07-17 00:00:00,3.1,257.21,218.98867
2023-07-29T08:00:00.000000000,2024-07-17 00:00:00,3.1,255.95,215.53026
2023-07-29T09:00:00.000000000,2024-07-17 00:00:00,3.1,252.89,209.86063
2023-07-29T10:00:00.000000000,2024-07-17 00:00:00,3.1,248.72,206.89042
2023-07-29T11:00:00.000000000,2024-07-17 00:00:00,3.1,244.22,204.1428
2023-07-29T12:00:00.000000000,2024-07-17 00:00:00,3.1,245.57,201.48731
2023-07-29T13:00:00.000000000,2024-07-17 00:00:00,3.1,246.16,198.48941
2023-07-29T14:00:00.000000000,2024-07-17 00:00:00,3.1,236.23,195.69127
2023-07-29T15:00:00.000000000,2024-07-17 00:00:00,3.1,212.92,193.92887
2023-07-29T16:00:00.000000000,2024-07-17 00:00:00,3.1,207.7,192.93708
2023-07-29T17:00:00.000000000,2024-07-17 00:00:00,3.1,212.94,189.43097
2023-07-29T18:00:00.000000000,2024-07-17 00:00:00,3.1,226.27,189.23619
2023-07-29T19:00:00.000000000,2024-07-17 00:00:00,3.1,241.3,193.34281
2023-07-29T20:00:00.000000000,2024-07-17 00:00:00,3.1,248.22,198.64856
2023-07-29T21:00:00.000000000,2024-07-17 00:00:00,3.1,247.99,204.61188
2023-07-29T22:00:00.000000000,2024-07-17 00:00:00,3.1,253.66,211.69697
2023-07-29T23:00:00.000000000,2024-07-17 00:00:00,3.1,246.33,216.53461
2023-07-30T00:00:00.000000000,2024-07-17 00:00:00,3.1,243.25,222.29959
2023-07-30T01:00:00.000000000,2024-07-17 00:00:00,3.1,246.11,225.13118
2023-07-30T02:00:00.000000000,2024-07-17 00:00:00,3.1,254.18,229.7683
2023-07-30T03:00:00.000000000,2024-07-17 00:00:00,3.1,258.21,230.49166
2023-07-30T04:00:00.000000000,2024-07-17 00:00:00,3.1,256.86,230.4101
2023-07-30T05:00:00.000000000,2024-07-17 00:00:00,3.1,263.33,228.45733
2023-07-30T06:00:00.000000000,2024-07-17 00:00:00,3.1,261.38,223.20789
2023-07-30T07:00:00.000000000,2024-07-17 00:00:00,3.1,255.71,219.23137
2023-07-30T08:00:00.000000000,2024-07-17 00:00:00,3.1,248.44,214.44576
2023-07-30T09:00:00.000000000,2024-07-17 00:00:00,3.1,244.61,207.77785
2023-07-30T10:00:00.000000000,2024-07-17 00:00:00,3.1,236.85,204.7173
2023-07-30T11:00:00.000000000,2024-07-17 00:00:00,3.1,228.59,200.9471
2023-07-30T12:00:00.000000000,2024-07-17 00:00:00,3.1,230.34,197.65141
2023-07-30T13:00:00.000000000,2024-07-17 00:00:00,3.1,239.67,194.33675
2023-07-30T14:00:00.000000000,2024-07-17 00:00:00,3.1,225.62,190.4157
2023-07-30T15:00:00.000000000,2024-07-17 00:00:00,3.1,217.23,188.67888
2023-07-30T16:00:00.000000000,2024-07-17 00:00:00,3.1,214.64,187.36441
2023-07-30T17:00:00.000000000,2024-07-17 00:00:00,3.1,217.77,184.41609
2023-07-30T18:00:00.000000000,2024-07-17 00:00:00,3.1,223.11,184.87311
2023-07-30T19:00:00.000000000,2024-07-17 00:00:00,3.1,222.52,189.9392
2023-07-30T20:00:00.000000000,2024-07-17 00:00:00,3.1,239.6,196.356
2023-07-30T21:00:00.000000000,2024-07-17 00:00:00,3.1,247.33,202.85345
2023-07-30T22:00:00.000000000,2024-07-17 00:00:00,3.1,252.62,210.11513
2023-07-30T23:00:00.000000000,2024-07-17 00:00:00,3.1,245.81,215.73237
2023-07-31T00:00:00.000000000,2024-07-17 00:00:00,3.1,242.8,217.68769
2023-07-31T01:00:00.000000000,2024-07-17 00:00:00,3.1,245.49,219.10743
2023-07-31T02:00:00.000000000,2024-07-17 00:00:00,3.1,254.4,222.4933
2023-07-31T03:00:00.000000000,2024-07-17 00:00:00,3.1,258.61,221.34989
2023-07-31T04:00:00.000000000,2024-07-17 00:00:00,3.1,266.84,219.90878
2023-07-31T05:00:00.000000000,2024-07-17 00:00:00,3.1,266.63,216.69674
2023-07-31T06:00:00.000000000,2024-07-17 00:00:00,3.1,269.26,210.54419
2023-07-31T07:00:00.000000000,2024-07-17 00:00:00,3.1,285.18,205.79507
2023-07-31T08:00:00.000000000,2024-07-17 00:00:00,3.1,282.7,200.45065
2023-07-31T09:00:00.000000000,2024-07-17 00:00:00,3.1,277.8,194.30571
2023-07-31T10:00:00.000000000,2024-07-17 00:00:00,3.1,271.34,191.91911
2023-07-31T11:00:00.000000000,2024-07-17 00:00:00,3.1,249.14,189.65275
2023-07-31T12:00:00.000000000,2024-07-17 00:00:00,3.1,261.35,187.31256
2023-07-31T13:00:00.000000000,2024-07-17 00:00:00,3.1,278.02,185.08423
2023-07-31T14:00:00.000000000,2024-07-17 00:00:00,3.1,273.29,181.87446
2023-07-31T15:00:00.000000000,2024-07-17 00:00:00,3.1,271.14,179.98368
2023-07-31T16:00:00.000000000,2024-07-17 00:00:00,3.1,266.78,179.4358
2023-07-31T17:00:00.000000000,2024-07-17 00:00:00,3.1,255.8,177.35858
2023-07-31T18:00:00.000000000,2024-07-17 00:00:00,3.1,257.17,178.62439
2023-07-31T19:00:00.000000000,2024-07-17 00:00:00,3.1,261.33,184.36657
2023-07-31T20:00:00.000000000,2024-07-17 00:00:00,3.1,262.69,191.29272
2023-07-31T21:00:00.000000000,2024-07-17 00:00:00,3.1,266.39,198.74428
2023-07-31T22:00:00.000000000,2024-07-17 00:00:00,3.1,273.16,206.31441
2023-07-31T23:00:00.000000000,2024-07-17 00:00:00,3.1,273.71,211.89978
