UTC time,nat_gas,hydro
2023-07-07 00:00:00,200.0,78.0
2023-07-07 01:00:00,266.0,78.0
2023-07-07 02:00:00,310.0,78.0
2023-07-07 03:00:00,334.0,78.0
2023-07-07 04:00:00,287.0,78.0
2023-07-07 05:00:00,233.0,78.0
2023-07-07 06:00:00,230.0,78.0
2023-07-07 07:00:00,213.0,77.0
2023-07-07 08:00:00,212.0,68.0
2023-07-07 09:00:00,206.0,67.0
2023-07-07 10:00:00,189.0,67.0
2023-07-07 11:00:00,178.0,68.0
2023-07-07 12:00:00,190.0,68.0
2023-07-07 13:00:00,208.0,67.0
2023-07-07 14:00:00,196.0,67.0
2023-07-07 15:00:00,214.0,67.0
2023-07-07 16:00:00,229.0,67.0
2023-07-07 17:00:00,238.0,67.0
2023-07-07 18:00:00,241.0,67.0
2023-07-07 19:00:00,243.0,68.0
2023-07-07 20:00:00,235.0,77.0
2023-07-07 21:00:00,231.0,78.0
2023-07-07 22:00:00,230.0,83.0
2023-07-07 23:00:00,229.0,84.0
