UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-11-20T00:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,366.29187
2022-11-20T01:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,364.32772
2022-11-20T02:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,364.03056
2022-11-20T03:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,365.18612
2022-11-20T04:00:00.000000000,2024-07-17 00:00:00,3.1,368.45,366.60377
2022-11-20T05:00:00.000000000,2024-07-17 00:00:00,3.1,368.45,367.62236
2022-11-20T06:00:00.000000000,2024-07-17 00:00:00,3.1,368.45,369.36326
2022-11-20T07:00:00.000000000,2024-07-17 00:00:00,3.1,368.45,370.62856
2022-11-20T08:00:00.000000000,2024-07-17 00:00:00,3.1,368.45,370.9497
2022-11-20T09:00:00.000000000,2024-07-17 00:00:00,3.1,368.45,372.5635
2022-11-20T10:00:00.000000000,2024-07-17 00:00:00,3.1,368.44,371.34165
2022-11-20T11:00:00.000000000,2024-07-17 00:00:00,3.1,368.45,368.12422
2022-11-20T12:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,364.93902
2022-11-20T13:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,364.22857
2022-11-20T14:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,363.48769
2022-11-20T15:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,363.42388
2022-11-20T16:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,364.1724
2022-11-20T17:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,366.2062
2022-11-20T18:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,369.45108
2022-11-20T19:00:00.000000000,2024-07-17 00:00:00,3.1,370.0,370.72556
2022-11-20T20:00:00.000000000,2024-07-17 00:00:00,3.1,368.38,370.80764
2022-11-20T21:00:00.000000000,2024-07-17 00:00:00,3.1,368.38,371.56772
2022-11-20T22:00:00.000000000,2024-07-17 00:00:00,3.1,368.34,370.89531
2022-11-20T23:00:00.000000000,2024-07-17 00:00:00,3.1,368.33,368.56293
2022-11-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,368.36,368.58661
2022-11-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,368.65,367.26477
2022-11-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,368.72,367.3886
2022-11-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,368.71,368.47854
2022-11-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,368.69,369.6521
2022-11-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,368.71,370.07151
2022-11-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,368.63,371.06853
