UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-04-05T00:00:00.000000000,2024-07-17 00:00:00,3.1,278.78,303.40931
2023-04-05T01:00:00.000000000,2024-07-17 00:00:00,3.1,312.74,312.49739
2023-04-05T02:00:00.000000000,2024-07-17 00:00:00,3.1,336.77,320.34403
2023-04-05T03:00:00.000000000,2024-07-17 00:00:00,3.1,335.73,325.0689
2023-04-05T04:00:00.000000000,2024-07-17 00:00:00,3.1,334.67,330.20068
2023-04-05T05:00:00.000000000,2024-07-17 00:00:00,3.1,335.2,330.89801
2023-04-05T06:00:00.000000000,2024-07-17 00:00:00,3.1,334.13,327.47638
2023-04-05T07:00:00.000000000,2024-07-17 00:00:00,3.1,270.57,322.71305
2023-04-05T08:00:00.000000000,2024-07-17 00:00:00,3.1,269.5,323.28395
2023-04-05T09:00:00.000000000,2024-07-17 00:00:00,3.1,252.09,324.12062
2023-04-05T10:00:00.000000000,2024-07-17 00:00:00,3.1,234.62,327.23339
2023-04-05T11:00:00.000000000,2024-07-17 00:00:00,3.1,242.99,329.68338
2023-04-05T12:00:00.000000000,2024-07-17 00:00:00,3.1,283.6,334.72406
2023-04-05T13:00:00.000000000,2024-07-17 00:00:00,3.1,318.13,340.84934
2023-04-05T14:00:00.000000000,2024-07-17 00:00:00,3.1,344.66,345.37215
2023-04-05T15:00:00.000000000,2024-07-17 00:00:00,3.1,357.44,343.54735
2023-04-05T16:00:00.000000000,2024-07-17 00:00:00,3.1,350.49,341.08124
2023-04-05T17:00:00.000000000,2024-07-17 00:00:00,3.1,342.68,337.10559
2023-04-05T18:00:00.000000000,2024-07-17 00:00:00,3.1,329.2,330.7478
2023-04-05T19:00:00.000000000,2024-07-17 00:00:00,3.1,340.27,326.2634
2023-04-05T20:00:00.000000000,2024-07-17 00:00:00,3.1,323.93,325.03645
2023-04-05T21:00:00.000000000,2024-07-17 00:00:00,3.1,315.69,320.88588
2023-04-05T22:00:00.000000000,2024-07-17 00:00:00,3.1,316.36,317.44881
2023-04-05T23:00:00.000000000,2024-07-17 00:00:00,3.1,317.47,318.9185
2023-04-06T00:00:00.000000000,2024-07-17 00:00:00,3.1,322.1,325.42141
2023-04-06T01:00:00.000000000,2024-07-17 00:00:00,3.1,317.02,329.15798
2023-04-06T02:00:00.000000000,2024-07-17 00:00:00,3.1,343.63,332.03212
2023-04-06T03:00:00.000000000,2024-07-17 00:00:00,3.1,380.48,333.69971
2023-04-06T04:00:00.000000000,2024-07-17 00:00:00,3.1,383.14,336.72113
2023-04-06T05:00:00.000000000,2024-07-17 00:00:00,3.1,367.17,336.97902
2023-04-06T06:00:00.000000000,2024-07-17 00:00:00,3.1,355.07,334.40218
2023-04-06T07:00:00.000000000,2024-07-17 00:00:00,3.1,346.5,330.41766
2023-04-06T08:00:00.000000000,2024-07-17 00:00:00,3.1,350.06,330.16567
2023-04-06T09:00:00.000000000,2024-07-17 00:00:00,3.1,342.76,328.04356
2023-04-06T10:00:00.000000000,2024-07-17 00:00:00,3.1,349.62,328.10404
2023-04-06T11:00:00.000000000,2024-07-17 00:00:00,3.1,342.76,325.94797
2023-04-06T12:00:00.000000000,2024-07-17 00:00:00,3.1,344.66,325.33748
2023-04-06T13:00:00.000000000,2024-07-17 00:00:00,3.1,349.62,327.53811
2023-04-06T14:00:00.000000000,2024-07-17 00:00:00,3.1,353.02,327.24615
2023-04-06T15:00:00.000000000,2024-07-17 00:00:00,3.1,330.28,322.96354
2023-04-06T16:00:00.000000000,2024-07-17 00:00:00,3.1,362.31,319.1783
2023-04-06T17:00:00.000000000,2024-07-17 00:00:00,3.1,358.6,315.36084
2023-04-06T18:00:00.000000000,2024-07-17 00:00:00,3.1,347.86,310.96599
2023-04-06T19:00:00.000000000,2024-07-17 00:00:00,3.1,329.14,309.34135
2023-04-06T20:00:00.000000000,2024-07-17 00:00:00,3.1,324.42,312.74459
2023-04-06T21:00:00.000000000,2024-07-17 00:00:00,3.1,323.2,314.43738
2023-04-06T22:00:00.000000000,2024-07-17 00:00:00,3.1,321.34,317.38584
2023-04-06T23:00:00.000000000,2024-07-17 00:00:00,3.1,339.33,322.45401
2023-04-07T00:00:00.000000000,2024-07-17 00:00:00,3.1,343.72,296.79034
2023-04-07T01:00:00.000000000,2024-07-17 00:00:00,3.1,340.82,301.61102
2023-04-07T02:00:00.000000000,2024-07-17 00:00:00,3.1,340.82,305.3979
2023-04-07T03:00:00.000000000,2024-07-17 00:00:00,3.1,354.66,307.16549
2023-04-07T04:00:00.000000000,2024-07-17 00:00:00,3.1,336.77,310.63578
2023-04-07T05:00:00.000000000,2024-07-17 00:00:00,3.1,346.5,310.7443
2023-04-07T06:00:00.000000000,2024-07-17 00:00:00,3.1,344.19,307.2899
2023-04-07T07:00:00.000000000,2024-07-17 00:00:00,3.1,332.5,302.5401
2023-04-07T08:00:00.000000000,2024-07-17 00:00:00,3.1,354.66,302.37784
2023-04-07T09:00:00.000000000,2024-07-17 00:00:00,3.1,355.47,300.20889
2023-04-07T10:00:00.000000000,2024-07-17 00:00:00,3.1,354.66,300.84458
2023-04-07T11:00:00.000000000,2024-07-17 00:00:00,3.1,353.27,299.35684
2023-04-07T12:00:00.000000000,2024-07-17 00:00:00,3.1,354.26,299.75356
2023-04-07T13:00:00.000000000,2024-07-17 00:00:00,3.1,360.99,303.32913
2023-04-07T14:00:00.000000000,2024-07-17 00:00:00,3.1,365.22,304.05177
2023-04-07T15:00:00.000000000,2024-07-17 00:00:00,3.1,349.48,299.93644
2023-04-07T16:00:00.000000000,2024-07-17 00:00:00,3.1,381.08,296.00351
2023-04-07T17:00:00.000000000,2024-07-17 00:00:00,3.1,386.44,291.91363
2023-04-07T18:00:00.000000000,2024-07-17 00:00:00,3.1,383.89,286.55748
2023-04-07T19:00:00.000000000,2024-07-17 00:00:00,3.1,374.98,284.58086
2023-04-07T20:00:00.000000000,2024-07-17 00:00:00,3.1,371.05,288.23185
2023-04-07T21:00:00.000000000,2024-07-17 00:00:00,3.1,327.99,289.25026
2023-04-07T22:00:00.000000000,2024-07-17 00:00:00,3.1,338.82,291.58241
2023-04-07T23:00:00.000000000,2024-07-17 00:00:00,3.1,338.32,296.89498
2023-04-08T00:00:00.000000000,2024-07-17 00:00:00,3.1,319.43,265.17479
2023-04-08T01:00:00.000000000,2024-07-17 00:00:00,3.1,331.95,272.86549
2023-04-08T02:00:00.000000000,2024-07-17 00:00:00,3.1,347.86,280.03156
2023-04-08T03:00:00.000000000,2024-07-17 00:00:00,3.1,342.28,284.3888
2023-04-08T04:00:00.000000000,2024-07-17 00:00:00,3.1,335.2,290.82356
2023-04-08T05:00:00.000000000,2024-07-17 00:00:00,3.1,333.05,293.11075
