Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
36936,2023-03-20 00:00:00,2024-07-17 00:00:00,3.1,183.05,94.0,96.0
36937,2023-03-20 01:00:00,2024-07-17 00:00:00,3.1,190.61,102.0,96.0
36938,2023-03-20 02:00:00,2024-07-17 00:00:00,3.1,220.76,142.0,96.0
36939,2023-03-20 03:00:00,2024-07-17 00:00:00,3.1,267.93,252.0,96.0
36940,2023-03-20 04:00:00,2024-07-17 00:00:00,3.1,223.22,146.0,96.0
36941,2023-03-20 05:00:00,2024-07-17 00:00:00,3.1,196.62,110.0,97.0
36942,2023-03-20 06:00:00,2024-07-17 00:00:00,3.1,199.23,112.0,96.0
36943,2023-03-20 07:00:00,2024-07-17 00:00:00,3.1,191.51,103.0,96.0
36944,2023-03-20 08:00:00,2024-07-17 00:00:00,3.1,193.28,105.0,96.0
36945,2023-03-20 09:00:00,2024-07-17 00:00:00,3.1,182.09,94.0,97.0
36946,2023-03-20 10:00:00,2024-07-17 00:00:00,3.1,176.0,88.0,97.0
36947,2023-03-20 11:00:00,2024-07-17 00:00:00,3.1,188.78,100.0,96.0
36948,2023-03-20 12:00:00,2024-07-17 00:00:00,3.1,185.95,98.0,97.0
36949,2023-03-20 13:00:00,2024-07-17 00:00:00,3.1,187.82,100.0,97.0
36950,2023-03-20 14:00:00,2024-07-17 00:00:00,3.1,238.05,175.0,97.0
36951,2023-03-20 15:00:00,2024-07-17 00:00:00,3.1,252.38,206.0,96.0
36952,2023-03-20 16:00:00,2024-07-17 00:00:00,3.1,263.01,236.0,96.0
36953,2023-03-20 17:00:00,2024-07-17 00:00:00,3.1,252.71,209.0,97.0
36954,2023-03-20 18:00:00,2024-07-17 00:00:00,3.1,236.97,171.0,96.0
36955,2023-03-20 19:00:00,2024-07-17 00:00:00,3.1,238.93,175.0,96.0
36956,2023-03-20 20:00:00,2024-07-17 00:00:00,3.1,243.14,184.0,96.0
36957,2023-03-20 21:00:00,2024-07-17 00:00:00,3.1,236.47,170.0,96.0
36958,2023-03-20 22:00:00,2024-07-17 00:00:00,3.1,237.46,172.0,96.0
36959,2023-03-20 23:00:00,2024-07-17 00:00:00,3.1,238.44,174.0,96.0
