UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,268.36,322.04671
2022-07-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,279.14,319.22998
2022-07-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,285.31,319.41021
2022-07-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,283.41,321.0852
2022-07-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,277.63,325.45664
2022-07-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,266.46,333.36902
2022-07-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,267.03,336.55128
2022-07-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,269.87,334.8571
2022-07-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,260.0,331.2741
2022-07-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,250.63,326.10295
2022-07-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,252.28,326.15076
2022-07-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,252.2,329.12076
2022-07-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,251.99,332.05544
2022-07-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,252.97,339.79937
2022-07-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,258.87,341.25171
2022-07-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,260.44,345.60771
2022-07-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,267.09,353.51526
2022-07-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,278.53,360.8502
2022-07-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,282.98,365.07229
2022-07-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,275.46,374.64983
2022-07-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,271.61,374.29267
2022-07-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,269.18,377.85973
2022-07-16T22:00:00.000000000,2024-07-17 00:00:00,3.1,269.52,374.2005
2022-07-16T23:00:00.000000000,2024-07-17 00:00:00,3.1,274.26,369.07765
2022-07-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,279.99,349.19859
2022-07-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,291.45,344.06797
2022-07-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,290.8,341.54292
2022-07-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,281.42,342.08615
2022-07-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,269.04,345.08502
2022-07-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,267.37,352.72843
2022-07-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,266.04,357.46582
2022-07-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,268.16,358.63454
2022-07-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,262.0,356.69089
2022-07-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,258.52,352.5151
2022-07-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,255.6,352.21525
2022-07-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,255.11,353.21202
2022-07-17T12:00:00.000000000,2024-07-17 00:00:00,3.1,254.5,353.76742
2022-07-17T13:00:00.000000000,2024-07-17 00:00:00,3.1,257.97,359.122
2022-07-17T14:00:00.000000000,2024-07-17 00:00:00,3.1,269.05,361.45083
2022-07-17T15:00:00.000000000,2024-07-17 00:00:00,3.1,280.12,368.47282
2022-07-17T16:00:00.000000000,2024-07-17 00:00:00,3.1,277.68,379.47742
2022-07-17T17:00:00.000000000,2024-07-17 00:00:00,3.1,279.08,392.22526
2022-07-17T18:00:00.000000000,2024-07-17 00:00:00,3.1,278.37,399.2082
2022-07-17T19:00:00.000000000,2024-07-17 00:00:00,3.1,276.3,409.90678
2022-07-17T20:00:00.000000000,2024-07-17 00:00:00,3.1,269.47,408.52393
2022-07-17T21:00:00.000000000,2024-07-17 00:00:00,3.1,265.53,408.87171
2022-07-17T22:00:00.000000000,2024-07-17 00:00:00,3.1,265.76,404.42179
2022-07-17T23:00:00.000000000,2024-07-17 00:00:00,3.1,265.45,396.53639
2022-07-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,269.33,365.15841
2022-07-18T01:00:00.000000000,2024-07-17 00:00:00,3.1,281.38,356.70921
2022-07-18T02:00:00.000000000,2024-07-17 00:00:00,3.1,289.34,350.00322
2022-07-18T03:00:00.000000000,2024-07-17 00:00:00,3.1,284.01,346.58077
2022-07-18T04:00:00.000000000,2024-07-17 00:00:00,3.1,284.29,347.84903
2022-07-18T05:00:00.000000000,2024-07-17 00:00:00,3.1,281.63,356.25666
2022-07-18T06:00:00.000000000,2024-07-17 00:00:00,3.1,276.29,363.36712
2022-07-18T07:00:00.000000000,2024-07-17 00:00:00,3.1,278.25,370.32068
2022-07-18T08:00:00.000000000,2024-07-17 00:00:00,3.1,273.0,374.74382
2022-07-18T09:00:00.000000000,2024-07-17 00:00:00,3.1,270.87,376.92016
2022-07-18T10:00:00.000000000,2024-07-17 00:00:00,3.1,271.38,380.96295
2022-07-18T11:00:00.000000000,2024-07-17 00:00:00,3.1,277.48,383.35831
2022-07-18T12:00:00.000000000,2024-07-17 00:00:00,3.1,280.83,381.62951
2022-07-18T13:00:00.000000000,2024-07-17 00:00:00,3.1,284.48,383.06214
2022-07-18T14:00:00.000000000,2024-07-17 00:00:00,3.1,277.88,381.67929
2022-07-18T15:00:00.000000000,2024-07-17 00:00:00,3.1,266.61,386.03928
2022-07-18T16:00:00.000000000,2024-07-17 00:00:00,3.1,261.05,395.94083
2022-07-18T17:00:00.000000000,2024-07-17 00:00:00,3.1,263.05,407.81533
2022-07-18T18:00:00.000000000,2024-07-17 00:00:00,3.1,261.77,414.66108
2022-07-18T19:00:00.000000000,2024-07-17 00:00:00,3.1,256.72,424.67446
2022-07-18T20:00:00.000000000,2024-07-17 00:00:00,3.1,256.08,422.44454
2022-07-18T21:00:00.000000000,2024-07-17 00:00:00,3.1,255.94,419.64704
2022-07-18T22:00:00.000000000,2024-07-17 00:00:00,3.1,257.03,412.94928
2022-07-18T23:00:00.000000000,2024-07-17 00:00:00,3.1,256.25,402.25487
2022-07-19T00:00:00.000000000,2024-07-17 00:00:00,3.1,259.5,377.26757
2022-07-19T01:00:00.000000000,2024-07-17 00:00:00,3.1,266.48,369.68292
2022-07-19T02:00:00.000000000,2024-07-17 00:00:00,3.1,274.0,363.13419
2022-07-19T03:00:00.000000000,2024-07-17 00:00:00,3.1,265.41,359.13486
2022-07-19T04:00:00.000000000,2024-07-17 00:00:00,3.1,255.08,359.84399
2022-07-19T05:00:00.000000000,2024-07-17 00:00:00,3.1,256.57,367.68079
2022-07-19T06:00:00.000000000,2024-07-17 00:00:00,3.1,258.34,374.2545
2022-07-19T07:00:00.000000000,2024-07-17 00:00:00,3.1,258.74,381.50529
