UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-01-30T00:00:00.000000000,2024-07-17 00:00:00,3.1,221.46,425.49701
2023-01-30T01:00:00.000000000,2024-07-17 00:00:00,3.1,217.39,318.61818
2023-01-30T02:00:00.000000000,2024-07-17 00:00:00,3.1,220.1,413.88245
2023-01-30T03:00:00.000000000,2024-07-17 00:00:00,3.1,223.17,402.95743
2023-01-30T04:00:00.000000000,2024-07-17 00:00:00,3.1,227.52,398.57668
2023-01-30T05:00:00.000000000,2024-07-17 00:00:00,3.1,239.62,393.01754
2023-01-30T06:00:00.000000000,2024-07-17 00:00:00,3.1,251.89,382.40636
2023-01-30T07:00:00.000000000,2024-07-17 00:00:00,3.1,253.8,344.2886
2023-01-30T08:00:00.000000000,2024-07-17 00:00:00,3.1,250.78,326.93046
2023-01-30T09:00:00.000000000,2024-07-17 00:00:00,3.1,250.8,385.21093
2023-01-30T10:00:00.000000000,2024-07-17 00:00:00,3.1,252.21,371.73776
2023-01-30T11:00:00.000000000,2024-07-17 00:00:00,3.1,254.42,369.71811
2023-01-30T12:00:00.000000000,2024-07-17 00:00:00,3.1,248.23,363.94886
2023-01-30T13:00:00.000000000,2024-07-17 00:00:00,3.1,240.18,383.70846
2023-01-30T14:00:00.000000000,2024-07-17 00:00:00,3.1,236.9,337.18315
2023-01-30T15:00:00.000000000,2024-07-17 00:00:00,3.1,239.4,394.30564
2023-01-30T16:00:00.000000000,2024-07-17 00:00:00,3.1,243.33,333.30907
2023-01-30T17:00:00.000000000,2024-07-17 00:00:00,3.1,251.65,429.42497
2023-01-30T18:00:00.000000000,2024-07-17 00:00:00,3.1,250.35,386.68763
2023-01-30T19:00:00.000000000,2024-07-17 00:00:00,3.1,250.36,418.96774
2023-01-30T20:00:00.000000000,2024-07-17 00:00:00,3.1,254.03,394.37045
2023-01-30T21:00:00.000000000,2024-07-17 00:00:00,3.1,248.79,396.29763
2023-01-30T22:00:00.000000000,2024-07-17 00:00:00,3.1,259.95,490.23231
2023-01-30T23:00:00.000000000,2024-07-17 00:00:00,3.1,274.25,398.83831
2023-01-31T00:00:00.000000000,2024-07-17 00:00:00,3.1,283.13,313.13598
2023-01-31T01:00:00.000000000,2024-07-17 00:00:00,3.1,270.42,280.94482
2023-01-31T02:00:00.000000000,2024-07-17 00:00:00,3.1,276.12,303.54673
2023-01-31T03:00:00.000000000,2024-07-17 00:00:00,3.1,278.28,327.14071
2023-01-31T04:00:00.000000000,2024-07-17 00:00:00,3.1,268.62,312.74066
2023-01-31T05:00:00.000000000,2024-07-17 00:00:00,3.1,275.11,291.7474
2023-01-31T06:00:00.000000000,2024-07-17 00:00:00,3.1,295.38,249.67192
2023-01-31T07:00:00.000000000,2024-07-17 00:00:00,3.1,304.2,273.07575
2023-01-31T08:00:00.000000000,2024-07-17 00:00:00,3.1,305.6,314.58051
2023-01-31T09:00:00.000000000,2024-07-17 00:00:00,3.1,310.45,335.79491
2023-01-31T10:00:00.000000000,2024-07-17 00:00:00,3.1,314.29,221.28602
2023-01-31T11:00:00.000000000,2024-07-17 00:00:00,3.1,317.31,276.87067
2023-01-31T12:00:00.000000000,2024-07-17 00:00:00,3.1,312.44,283.86597
2023-01-31T13:00:00.000000000,2024-07-17 00:00:00,3.1,288.96,294.31866
2023-01-31T14:00:00.000000000,2024-07-17 00:00:00,3.1,279.81,236.88611
2023-01-31T15:00:00.000000000,2024-07-17 00:00:00,3.1,280.41,271.41581
2023-01-31T16:00:00.000000000,2024-07-17 00:00:00,3.1,278.91,182.06458
2023-01-31T17:00:00.000000000,2024-07-17 00:00:00,3.1,287.12,264.56522
2023-01-31T18:00:00.000000000,2024-07-17 00:00:00,3.1,300.09,249.52411
2023-01-31T19:00:00.000000000,2024-07-17 00:00:00,3.1,303.13,316.97114
2023-01-31T20:00:00.000000000,2024-07-17 00:00:00,3.1,304.08,252.42871
2023-01-31T21:00:00.000000000,2024-07-17 00:00:00,3.1,306.09,321.47342
2023-01-31T22:00:00.000000000,2024-07-17 00:00:00,3.1,307.04,427.40911
2023-01-31T23:00:00.000000000,2024-07-17 00:00:00,3.1,306.31,223.67831
2023-02-01T00:00:00.000000000,2024-07-17 00:00:00,3.1,302.91,284.79205
2023-02-01T01:00:00.000000000,2024-07-17 00:00:00,3.1,299.63,255.63448
2023-02-01T02:00:00.000000000,2024-07-17 00:00:00,3.1,303.01,268.98283
2023-02-01T03:00:00.000000000,2024-07-17 00:00:00,3.1,308.75,303.44022
2023-02-01T04:00:00.000000000,2024-07-17 00:00:00,3.1,310.56,292.43122
2023-02-01T05:00:00.000000000,2024-07-17 00:00:00,3.1,316.83,258.54464
2023-02-01T06:00:00.000000000,2024-07-17 00:00:00,3.1,319.42,212.3012
2023-02-01T07:00:00.000000000,2024-07-17 00:00:00,3.1,327.31,245.92551
2023-02-01T08:00:00.000000000,2024-07-17 00:00:00,3.1,332.83,294.63848
2023-02-01T09:00:00.000000000,2024-07-17 00:00:00,3.1,336.52,316.19435
2023-02-01T10:00:00.000000000,2024-07-17 00:00:00,3.1,340.33,185.67424
2023-02-01T11:00:00.000000000,2024-07-17 00:00:00,3.1,339.02,251.33574
2023-02-01T12:00:00.000000000,2024-07-17 00:00:00,3.1,330.94,256.04071
2023-02-01T13:00:00.000000000,2024-07-17 00:00:00,3.1,312.76,270.18619
2023-02-01T14:00:00.000000000,2024-07-17 00:00:00,3.1,302.99,207.64868
2023-02-01T15:00:00.000000000,2024-07-17 00:00:00,3.1,299.7,231.8099
2023-02-01T16:00:00.000000000,2024-07-17 00:00:00,3.1,298.41,155.10913
2023-02-01T17:00:00.000000000,2024-07-17 00:00:00,3.1,304.9,236.33584
2023-02-01T18:00:00.000000000,2024-07-17 00:00:00,3.1,306.21,216.71165
2023-02-01T19:00:00.000000000,2024-07-17 00:00:00,3.1,314.5,281.11698
2023-02-01T20:00:00.000000000,2024-07-17 00:00:00,3.1,316.82,221.36398
2023-02-01T21:00:00.000000000,2024-07-17 00:00:00,3.1,317.04,288.25488
2023-02-01T22:00:00.000000000,2024-07-17 00:00:00,3.1,318.33,387.4992
2023-02-01T23:00:00.000000000,2024-07-17 00:00:00,3.1,321.73,185.51199
2023-02-02T00:00:00.000000000,2024-07-17 00:00:00,3.1,326.56,283.67791
2023-02-02T01:00:00.000000000,2024-07-17 00:00:00,3.1,325.12,256.67313
2023-02-02T02:00:00.000000000,2024-07-17 00:00:00,3.1,329.48,266.60539
2023-02-02T03:00:00.000000000,2024-07-17 00:00:00,3.1,322.77,303.98254
2023-02-02T04:00:00.000000000,2024-07-17 00:00:00,3.1,316.66,294.68253
2023-02-02T05:00:00.000000000,2024-07-17 00:00:00,3.1,328.4,259.37132
2023-02-02T06:00:00.000000000,2024-07-17 00:00:00,3.1,334.35,212.68134
2023-02-02T07:00:00.000000000,2024-07-17 00:00:00,3.1,337.93,247.76703
2023-02-02T08:00:00.000000000,2024-07-17 00:00:00,3.1,341.38,293.71783
2023-02-02T09:00:00.000000000,2024-07-17 00:00:00,3.1,341.22,317.79542
2023-02-02T10:00:00.000000000,2024-07-17 00:00:00,3.1,340.33,185.3267
2023-02-02T11:00:00.000000000,2024-07-17 00:00:00,3.1,340.72,251.25281
2023-02-02T12:00:00.000000000,2024-07-17 00:00:00,3.1,333.84,258.23167
2023-02-02T13:00:00.000000000,2024-07-17 00:00:00,3.1,319.65,270.28831
2023-02-02T14:00:00.000000000,2024-07-17 00:00:00,3.1,310.75,208.59838
2023-02-02T15:00:00.000000000,2024-07-17 00:00:00,3.1,311.84,230.13685
2023-02-02T16:00:00.000000000,2024-07-17 00:00:00,3.1,313.57,156.94995
2023-02-02T17:00:00.000000000,2024-07-17 00:00:00,3.1,317.72,236.0013
2023-02-02T18:00:00.000000000,2024-07-17 00:00:00,3.1,317.49,217.53996
2023-02-02T19:00:00.000000000,2024-07-17 00:00:00,3.1,317.66,279.97493
2023-02-02T20:00:00.000000000,2024-07-17 00:00:00,3.1,321.54,220.48523
2023-02-02T21:00:00.000000000,2024-07-17 00:00:00,3.1,322.64,287.55752
2023-02-02T22:00:00.000000000,2024-07-17 00:00:00,3.1,322.15,387.00961
2023-02-02T23:00:00.000000000,2024-07-17 00:00:00,3.1,317.19,183.9542
