Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind
40392,2023-08-11 00:00:00,2024-07-17 00:00:00,3.1,501.1,3526.0,668.0,1378.0,103.0,166.0
40393,2023-08-11 01:00:00,2024-07-17 00:00:00,3.1,496.92,3564.0,665.0,1360.0,46.0,311.0
40394,2023-08-11 02:00:00,2024-07-17 00:00:00,3.1,502.5,3558.0,604.0,1336.0,13.0,315.0
40395,2023-08-11 03:00:00,2024-07-17 00:00:00,3.1,509.4,3546.0,550.0,1340.0,0.0,254.0
40396,2023-08-11 04:00:00,2024-07-17 00:00:00,3.1,504.99,3439.0,440.0,1272.0,0.0,347.0
40397,2023-08-11 05:00:00,2024-07-17 00:00:00,3.1,489.93,3276.0,355.0,1204.0,0.0,515.0
40398,2023-08-11 06:00:00,2024-07-17 00:00:00,3.1,496.72,3261.0,241.0,1171.0,0.0,496.0
40399,2023-08-11 07:00:00,2024-07-17 00:00:00,3.1,493.14,3086.0,208.0,1068.0,0.0,550.0
40400,2023-08-11 08:00:00,2024-07-17 00:00:00,3.1,490.1,3184.0,222.0,1059.0,0.0,640.0
40401,2023-08-11 09:00:00,2024-07-17 00:00:00,3.1,471.7,3014.0,200.0,1014.0,0.0,785.0
40402,2023-08-11 10:00:00,2024-07-17 00:00:00,3.1,461.73,2800.0,200.0,959.0,0.0,810.0
40403,2023-08-11 11:00:00,2024-07-17 00:00:00,3.1,470.01,2885.0,207.0,955.0,0.0,781.0
40404,2023-08-11 12:00:00,2024-07-17 00:00:00,3.1,479.44,3046.0,221.0,948.0,0.0,784.0
40405,2023-08-11 13:00:00,2024-07-17 00:00:00,3.1,455.82,3032.0,214.0,1065.0,21.0,897.0
40406,2023-08-11 14:00:00,2024-07-17 00:00:00,3.1,433.61,2809.0,194.0,1101.0,137.0,848.0
40407,2023-08-11 15:00:00,2024-07-17 00:00:00,3.1,445.94,2898.0,188.0,1107.0,220.0,682.0
40408,2023-08-11 16:00:00,2024-07-17 00:00:00,3.1,452.48,3067.0,249.0,1118.0,242.0,679.0
40409,2023-08-11 17:00:00,2024-07-17 00:00:00,3.1,451.68,3060.0,325.0,1112.0,249.0,669.0
40410,2023-08-11 18:00:00,2024-07-17 00:00:00,3.1,453.54,3113.0,296.0,1115.0,258.0,676.0
40411,2023-08-11 19:00:00,2024-07-17 00:00:00,3.1,463.68,3273.0,330.0,1144.0,253.0,628.0
40412,2023-08-11 20:00:00,2024-07-17 00:00:00,3.1,475.93,3392.0,371.0,1237.0,232.0,473.0
40413,2023-08-11 21:00:00,2024-07-17 00:00:00,3.1,495.5,3644.0,522.0,1305.0,195.0,313.0
40414,2023-08-11 22:00:00,2024-07-17 00:00:00,3.1,503.95,3690.0,556.0,1332.0,205.0,190.0
40415,2023-08-11 23:00:00,2024-07-17 00:00:00,3.1,509.2,3718.0,608.0,1342.0,179.0,144.0
