UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-12-14T00:00:00.000000000,2024-07-17 00:00:00,3.1,515.02,532.34593
2022-12-14T01:00:00.000000000,2024-07-17 00:00:00,3.1,508.53,536.8373
2022-12-14T02:00:00.000000000,2024-07-17 00:00:00,3.1,509.34,536.20554
2022-12-14T03:00:00.000000000,2024-07-17 00:00:00,3.1,509.35,539.12084
2022-12-14T04:00:00.000000000,2024-07-17 00:00:00,3.1,508.1,544.71812
2022-12-14T05:00:00.000000000,2024-07-17 00:00:00,3.1,518.37,545.46193
2022-12-14T06:00:00.000000000,2024-07-17 00:00:00,3.1,536.44,547.75157
2022-12-14T07:00:00.000000000,2024-07-17 00:00:00,3.1,547.4,550.37056
2022-12-14T08:00:00.000000000,2024-07-17 00:00:00,3.1,538.98,553.43204
2022-12-14T09:00:00.000000000,2024-07-17 00:00:00,3.1,541.68,553.86095
2022-12-14T10:00:00.000000000,2024-07-17 00:00:00,3.1,544.39,558.45388
2022-12-14T11:00:00.000000000,2024-07-17 00:00:00,3.1,548.95,563.64087
2022-12-14T12:00:00.000000000,2024-07-17 00:00:00,3.1,543.88,563.54386
2022-12-14T13:00:00.000000000,2024-07-17 00:00:00,3.1,535.24,564.53202
2022-12-14T14:00:00.000000000,2024-07-17 00:00:00,3.1,521.87,566.76191
2022-12-14T15:00:00.000000000,2024-07-17 00:00:00,3.1,510.6,565.12996
2022-12-14T16:00:00.000000000,2024-07-17 00:00:00,3.1,486.1,566.84807
2022-12-14T17:00:00.000000000,2024-07-17 00:00:00,3.1,474.76,565.28739
2022-12-14T18:00:00.000000000,2024-07-17 00:00:00,3.1,494.76,566.47012
2022-12-14T19:00:00.000000000,2024-07-17 00:00:00,3.1,508.15,564.10201
2022-12-14T20:00:00.000000000,2024-07-17 00:00:00,3.1,516.96,559.43843
2022-12-14T21:00:00.000000000,2024-07-17 00:00:00,3.1,511.95,556.62997
2022-12-14T22:00:00.000000000,2024-07-17 00:00:00,3.1,504.24,555.54714
2022-12-14T23:00:00.000000000,2024-07-17 00:00:00,3.1,504.26,552.74145
2022-12-15T00:00:00.000000000,2024-07-17 00:00:00,3.1,512.46,571.55836
2022-12-15T01:00:00.000000000,2024-07-17 00:00:00,3.1,511.85,575.33851
2022-12-15T02:00:00.000000000,2024-07-17 00:00:00,3.1,508.82,570.09406
2022-12-15T03:00:00.000000000,2024-07-17 00:00:00,3.1,506.13,572.44646
2022-12-15T04:00:00.000000000,2024-07-17 00:00:00,3.1,515.09,577.84553
2022-12-15T05:00:00.000000000,2024-07-17 00:00:00,3.1,519.71,574.38108
2022-12-15T06:00:00.000000000,2024-07-17 00:00:00,3.1,526.62,574.84665
2022-12-15T07:00:00.000000000,2024-07-17 00:00:00,3.1,532.05,575.40044
2022-12-15T08:00:00.000000000,2024-07-17 00:00:00,3.1,532.96,577.56194
2022-12-15T09:00:00.000000000,2024-07-17 00:00:00,3.1,540.58,577.27966
2022-12-15T10:00:00.000000000,2024-07-17 00:00:00,3.1,545.66,581.4701
2022-12-15T11:00:00.000000000,2024-07-17 00:00:00,3.1,534.33,588.83309
2022-12-15T12:00:00.000000000,2024-07-17 00:00:00,3.1,533.33,590.89826
2022-12-15T13:00:00.000000000,2024-07-17 00:00:00,3.1,532.33,593.81074
2022-12-15T14:00:00.000000000,2024-07-17 00:00:00,3.1,521.25,599.33113
2022-12-15T15:00:00.000000000,2024-07-17 00:00:00,3.1,520.48,599.38221
2022-12-15T16:00:00.000000000,2024-07-17 00:00:00,3.1,505.38,601.92949
2022-12-15T17:00:00.000000000,2024-07-17 00:00:00,3.1,493.21,603.01042
2022-12-15T18:00:00.000000000,2024-07-17 00:00:00,3.1,490.18,606.22526
2022-12-15T19:00:00.000000000,2024-07-17 00:00:00,3.1,493.56,604.12105
2022-12-15T20:00:00.000000000,2024-07-17 00:00:00,3.1,504.34,601.06571
2022-12-15T21:00:00.000000000,2024-07-17 00:00:00,3.1,507.37,599.13117
2022-12-15T22:00:00.000000000,2024-07-17 00:00:00,3.1,505.23,599.05071
2022-12-15T23:00:00.000000000,2024-07-17 00:00:00,3.1,507.83,595.15407
2022-12-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,507.27,605.48715
2022-12-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,502.27,606.68315
2022-12-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,509.37,600.89897
2022-12-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,500.35,600.14954
2022-12-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,494.17,603.18488
2022-12-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,497.62,595.55304
2022-12-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,511.29,592.90953
2022-12-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,521.85,589.45055
2022-12-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,530.89,586.45005
2022-12-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,539.19,583.77799
2022-12-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,533.28,584.75684
2022-12-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,536.5,587.9935
2022-12-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,531.05,589.39021
2022-12-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,520.68,589.62236
2022-12-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,513.16,595.17474
2022-12-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,514.4,596.08279
2022-12-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,505.2,597.25967
2022-12-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,497.62,599.32836
2022-12-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,503.28,603.19007
2022-12-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,507.25,601.19736
2022-12-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,516.43,600.16759
2022-12-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,510.89,600.71651
2022-12-16T22:00:00.000000000,2024-07-17 00:00:00,3.1,489.78,602.10775
2022-12-16T23:00:00.000000000,2024-07-17 00:00:00,3.1,502.03,599.46797
2022-12-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,509.68,610.46694
2022-12-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,504.67,611.36375
2022-12-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,493.6,606.97612
2022-12-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,491.59,606.14496
2022-12-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,498.55,609.20676
2022-12-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,506.13,602.20326
2022-12-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,528.99,599.31477
2022-12-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,547.0,595.62186
2022-12-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,560.32,591.67778
2022-12-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,566.13,589.11961
2022-12-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,572.71,589.83467
2022-12-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,563.5,591.49865
2022-12-17T12:00:00.000000000,2024-07-17 00:00:00,3.1,550.19,592.45188
2022-12-17T13:00:00.000000000,2024-07-17 00:00:00,3.1,554.46,591.14965
2022-12-17T14:00:00.000000000,2024-07-17 00:00:00,3.1,547.8,595.36124
2022-12-17T15:00:00.000000000,2024-07-17 00:00:00,3.1,549.12,595.80859
