UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-12-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,643.07,577.66628
2022-12-18T01:00:00.000000000,2024-07-17 00:00:00,3.1,639.96,570.51802
2022-12-18T02:00:00.000000000,2024-07-17 00:00:00,3.1,636.88,569.10704
2022-12-18T03:00:00.000000000,2024-07-17 00:00:00,3.1,624.77,571.1252
2022-12-18T04:00:00.000000000,2024-07-17 00:00:00,3.1,593.27,574.38224
2022-12-18T05:00:00.000000000,2024-07-17 00:00:00,3.1,572.53,581.77676
2022-12-18T06:00:00.000000000,2024-07-17 00:00:00,3.1,562.74,593.45225
2022-12-18T07:00:00.000000000,2024-07-17 00:00:00,3.1,574.14,604.09751
2022-12-18T08:00:00.000000000,2024-07-17 00:00:00,3.1,584.01,615.01762
2022-12-18T09:00:00.000000000,2024-07-17 00:00:00,3.1,592.15,622.05523
2022-12-18T10:00:00.000000000,2024-07-17 00:00:00,3.1,603.94,623.80337
2022-12-18T11:00:00.000000000,2024-07-17 00:00:00,3.1,608.14,620.85866
2022-12-18T12:00:00.000000000,2024-07-17 00:00:00,3.1,624.92,617.49898
2022-12-18T13:00:00.000000000,2024-07-17 00:00:00,3.1,649.09,611.72646
2022-12-18T14:00:00.000000000,2024-07-17 00:00:00,3.1,653.34,605.22889
2022-12-18T15:00:00.000000000,2024-07-17 00:00:00,3.1,659.65,600.53549
2022-12-18T16:00:00.000000000,2024-07-17 00:00:00,3.1,650.63,595.63037
2022-12-18T17:00:00.000000000,2024-07-17 00:00:00,3.1,657.35,594.71024
2022-12-18T18:00:00.000000000,2024-07-17 00:00:00,3.1,666.58,589.92353
2022-12-18T19:00:00.000000000,2024-07-17 00:00:00,3.1,673.73,589.76912
2022-12-18T20:00:00.000000000,2024-07-17 00:00:00,3.1,681.73,586.52734
2022-12-18T21:00:00.000000000,2024-07-17 00:00:00,3.1,678.82,580.37231
2022-12-18T22:00:00.000000000,2024-07-17 00:00:00,3.1,678.86,570.09943
2022-12-18T23:00:00.000000000,2024-07-17 00:00:00,3.1,659.06,564.19021
2022-12-19T00:00:00.000000000,2024-07-17 00:00:00,3.1,655.01,540.35603
2022-12-19T01:00:00.000000000,2024-07-17 00:00:00,3.1,653.97,538.89673
2022-12-19T02:00:00.000000000,2024-07-17 00:00:00,3.1,660.78,540.35698
2022-12-19T03:00:00.000000000,2024-07-17 00:00:00,3.1,673.47,542.58366
2022-12-19T04:00:00.000000000,2024-07-17 00:00:00,3.1,672.19,541.77214
2022-12-19T05:00:00.000000000,2024-07-17 00:00:00,3.1,667.32,544.64217
2022-12-19T06:00:00.000000000,2024-07-17 00:00:00,3.1,670.82,550.4865
2022-12-19T07:00:00.000000000,2024-07-17 00:00:00,3.1,661.57,554.5498
2022-12-19T08:00:00.000000000,2024-07-17 00:00:00,3.1,667.42,560.76555
2022-12-19T09:00:00.000000000,2024-07-17 00:00:00,3.1,669.69,564.45214
2022-12-19T10:00:00.000000000,2024-07-17 00:00:00,3.1,663.82,565.45795
2022-12-19T11:00:00.000000000,2024-07-17 00:00:00,3.1,660.18,567.07999
2022-12-19T12:00:00.000000000,2024-07-17 00:00:00,3.1,656.23,568.07734
2022-12-19T13:00:00.000000000,2024-07-17 00:00:00,3.1,647.7,567.51967
2022-12-19T14:00:00.000000000,2024-07-17 00:00:00,3.1,622.61,566.46606
2022-12-19T15:00:00.000000000,2024-07-17 00:00:00,3.1,607.58,566.87023
2022-12-19T16:00:00.000000000,2024-07-17 00:00:00,3.1,601.35,566.92871
2022-12-19T17:00:00.000000000,2024-07-17 00:00:00,3.1,599.73,571.53513
2022-12-19T18:00:00.000000000,2024-07-17 00:00:00,3.1,601.08,572.24717
2022-12-19T19:00:00.000000000,2024-07-17 00:00:00,3.1,621.72,577.58588
2022-12-19T20:00:00.000000000,2024-07-17 00:00:00,3.1,639.02,579.92171
2022-12-19T21:00:00.000000000,2024-07-17 00:00:00,3.1,640.95,581.14078
2022-12-19T22:00:00.000000000,2024-07-17 00:00:00,3.1,630.83,580.12205
2022-12-19T23:00:00.000000000,2024-07-17 00:00:00,3.1,646.11,580.36948
2022-12-20T00:00:00.000000000,2024-07-17 00:00:00,3.1,652.79,560.91088
2022-12-20T01:00:00.000000000,2024-07-17 00:00:00,3.1,637.88,554.85846
2022-12-20T02:00:00.000000000,2024-07-17 00:00:00,3.1,636.83,553.56874
2022-12-20T03:00:00.000000000,2024-07-17 00:00:00,3.1,655.97,555.46255
2022-12-20T04:00:00.000000000,2024-07-17 00:00:00,3.1,664.91,557.52131
2022-12-20T05:00:00.000000000,2024-07-17 00:00:00,3.1,656.72,563.83934
2022-12-20T06:00:00.000000000,2024-07-17 00:00:00,3.1,653.77,574.49572
2022-12-20T07:00:00.000000000,2024-07-17 00:00:00,3.1,639.55,583.95809
2022-12-20T08:00:00.000000000,2024-07-17 00:00:00,3.1,628.0,594.09956
2022-12-20T09:00:00.000000000,2024-07-17 00:00:00,3.1,633.04,600.32157
2022-12-20T10:00:00.000000000,2024-07-17 00:00:00,3.1,638.54,601.64695
2022-12-20T11:00:00.000000000,2024-07-17 00:00:00,3.1,623.44,599.87317
2022-12-20T12:00:00.000000000,2024-07-17 00:00:00,3.1,632.71,597.28825
2022-12-20T13:00:00.000000000,2024-07-17 00:00:00,3.1,648.19,592.57863
2022-12-20T14:00:00.000000000,2024-07-17 00:00:00,3.1,633.56,587.7587
2022-12-20T15:00:00.000000000,2024-07-17 00:00:00,3.1,630.61,585.04708
2022-12-20T16:00:00.000000000,2024-07-17 00:00:00,3.1,640.32,582.61095
2022-12-20T17:00:00.000000000,2024-07-17 00:00:00,3.1,645.35,584.80828
2022-12-20T18:00:00.000000000,2024-07-17 00:00:00,3.1,669.58,583.33294
2022-12-20T19:00:00.000000000,2024-07-17 00:00:00,3.1,673.1,586.30575
2022-12-20T20:00:00.000000000,2024-07-17 00:00:00,3.1,672.34,586.21289
2022-12-20T21:00:00.000000000,2024-07-17 00:00:00,3.1,667.71,583.07018
2022-12-20T22:00:00.000000000,2024-07-17 00:00:00,3.1,656.04,575.71279
2022-12-20T23:00:00.000000000,2024-07-17 00:00:00,3.1,636.86,571.3485
2022-12-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,608.9,556.36892
2022-12-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,592.75,551.7024
2022-12-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,582.84,551.53912
2022-12-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,583.26,554.01931
2022-12-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,599.86,555.67335
2022-12-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,609.71,561.07016
2022-12-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,621.51,570.59917
2022-12-21T07:00:00.000000000,2024-07-17 00:00:00,3.1,632.73,578.36431
2022-12-21T08:00:00.000000000,2024-07-17 00:00:00,3.1,634.39,586.7426
2022-12-21T09:00:00.000000000,2024-07-17 00:00:00,3.1,640.32,591.39128
2022-12-21T10:00:00.000000000,2024-07-17 00:00:00,3.1,637.38,591.51989
2022-12-21T11:00:00.000000000,2024-07-17 00:00:00,3.1,647.28,589.75524
2022-12-21T12:00:00.000000000,2024-07-17 00:00:00,3.1,649.89,587.70594
2022-12-21T13:00:00.000000000,2024-07-17 00:00:00,3.1,651.35,583.94083
2022-12-21T14:00:00.000000000,2024-07-17 00:00:00,3.1,627.25,580.54272
2022-12-21T15:00:00.000000000,2024-07-17 00:00:00,3.1,614.61,579.41955
2022-12-21T16:00:00.000000000,2024-07-17 00:00:00,3.1,601.72,578.8733
