UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-04-15 00:00:00,2024-07-17 00:00:00,3.1,243.94,258.01887
2023-04-15 01:00:00,2024-07-17 00:00:00,3.1,221.74,266.20364
2023-04-15 02:00:00,2024-07-17 00:00:00,3.1,190.04,275.92981
2023-04-15 03:00:00,2024-07-17 00:00:00,3.1,178.63,274.12136
2023-04-15 04:00:00,2024-07-17 00:00:00,3.1,176.8,276.26644
2023-04-15 05:00:00,2024-07-17 00:00:00,3.1,177.93,289.87262
2023-04-15 06:00:00,2024-07-17 00:00:00,3.1,184.85,307.045
2023-04-15 07:00:00,2024-07-17 00:00:00,3.1,215.07,298.90806
2023-04-15 08:00:00,2024-07-17 00:00:00,3.1,249.13,274.37113
2023-04-15 09:00:00,2024-07-17 00:00:00,3.1,244.88,261.55782
2023-04-15 10:00:00,2024-07-17 00:00:00,3.1,248.78,275.06039
2023-04-15 11:00:00,2024-07-17 00:00:00,3.1,252.57,289.40174
2023-04-15 12:00:00,2024-07-17 00:00:00,3.1,248.56,285.97251
2023-04-15 13:00:00,2024-07-17 00:00:00,3.1,200.94,266.56017
2023-04-15 14:00:00,2024-07-17 00:00:00,3.1,198.1,250.75129
2023-04-15 15:00:00,2024-07-17 00:00:00,3.1,249.71,250.51519
2023-04-15 16:00:00,2024-07-17 00:00:00,3.1,223.21,259.16108
2023-04-15 17:00:00,2024-07-17 00:00:00,3.1,237.97,262.82698
2023-04-15 18:00:00,2024-07-17 00:00:00,3.1,238.39,255.86234
2023-04-15 19:00:00,2024-07-17 00:00:00,3.1,246.98,251.97706
2023-04-15 20:00:00,2024-07-17 00:00:00,3.1,253.94,259.23605
2023-04-15 21:00:00,2024-07-17 00:00:00,3.1,257.22,265.08573
2023-04-15 22:00:00,2024-07-17 00:00:00,3.1,261.89,264.29966
2023-04-15 23:00:00,2024-07-17 00:00:00,3.1,236.92,259.23156
2023-04-16 00:00:00,2024-07-17 00:00:00,3.1,162.58,257.36271
2023-04-16 01:00:00,2024-07-17 00:00:00,3.1,215.07,266.13394
2023-04-16 02:00:00,2024-07-17 00:00:00,3.1,183.05,274.98337
2023-04-16 03:00:00,2024-07-17 00:00:00,3.1,174.6,272.51929
2023-04-16 04:00:00,2024-07-17 00:00:00,3.1,177.29,275.21661
2023-04-16 05:00:00,2024-07-17 00:00:00,3.1,181.93,290.49974
2023-04-16 06:00:00,2024-07-17 00:00:00,3.1,197.88,308.57727
2023-04-16 07:00:00,2024-07-17 00:00:00,3.1,223.19,299.4016
2023-04-16 08:00:00,2024-07-17 00:00:00,3.1,214.32,272.2397
2023-04-16 09:00:00,2024-07-17 00:00:00,3.1,215.54,258.01732
2023-04-16 10:00:00,2024-07-17 00:00:00,3.1,227.62,272.71578
2023-04-16 11:00:00,2024-07-17 00:00:00,3.1,227.43,288.97262
2023-04-16 12:00:00,2024-07-17 00:00:00,3.1,243.79,286.47224
2023-04-16 13:00:00,2024-07-17 00:00:00,3.1,217.26,266.30877
2023-04-16 14:00:00,2024-07-17 00:00:00,3.1,207.03,249.76522
2023-04-16 15:00:00,2024-07-17 00:00:00,3.1,233.43,249.76493
2023-04-16 16:00:00,2024-07-17 00:00:00,3.1,238.16,258.94984
2023-04-16 17:00:00,2024-07-17 00:00:00,3.1,266.39,262.4417
2023-04-16 18:00:00,2024-07-17 00:00:00,3.1,284.75,254.79591
2023-04-16 19:00:00,2024-07-17 00:00:00,3.1,273.75,250.06833
2023-04-16 20:00:00,2024-07-17 00:00:00,3.1,273.42,256.99087
2023-04-16 21:00:00,2024-07-17 00:00:00,3.1,261.73,262.71607
2023-04-16 22:00:00,2024-07-17 00:00:00,3.1,243.1,261.92286
2023-04-16 23:00:00,2024-07-17 00:00:00,3.1,235.63,257.42923
2023-04-17 00:00:00,2024-07-17 00:00:00,3.1,217.0,257.40909
2023-04-17 01:00:00,2024-07-17 00:00:00,3.1,201.37,266.13339
2023-04-17 02:00:00,2024-07-17 00:00:00,3.1,173.72,275.10394
2023-04-17 03:00:00,2024-07-17 00:00:00,3.1,157.09,272.75342
2023-04-17 04:00:00,2024-07-17 00:00:00,3.1,154.7,275.37204
2023-04-17 05:00:00,2024-07-17 00:00:00,3.1,167.94,290.3382
2023-04-17 06:00:00,2024-07-17 00:00:00,3.1,176.4,308.1414
2023-04-17 07:00:00,2024-07-17 00:00:00,3.1,205.24,299.02067
2023-04-17 08:00:00,2024-07-17 00:00:00,3.1,200.94,272.22074
2023-04-17 09:00:00,2024-07-17 00:00:00,3.1,196.0,258.27339
2023-04-17 10:00:00,2024-07-17 00:00:00,3.1,196.23,272.91063
2023-04-17 11:00:00,2024-07-17 00:00:00,3.1,199.4,288.99294
2023-04-17 12:00:00,2024-07-17 00:00:00,3.1,197.05,286.42
2023-04-17 13:00:00,2024-07-17 00:00:00,3.1,180.15,266.36846
2023-04-17 14:00:00,2024-07-17 00:00:00,3.1,171.32,249.89757
2023-04-17 15:00:00,2024-07-17 00:00:00,3.1,201.51,249.80181
2023-04-17 16:00:00,2024-07-17 00:00:00,3.1,202.52,258.85106
2023-04-17 17:00:00,2024-07-17 00:00:00,3.1,187.92,262.3366
2023-04-17 18:00:00,2024-07-17 00:00:00,3.1,200.26,254.78307
2023-04-17 19:00:00,2024-07-17 00:00:00,3.1,192.22,250.17391
2023-04-17 20:00:00,2024-07-17 00:00:00,3.1,186.73,257.11553
2023-04-17 21:00:00,2024-07-17 00:00:00,3.1,176.69,262.84591
2023-04-17 22:00:00,2024-07-17 00:00:00,3.1,187.37,262.08853
2023-04-17 23:00:00,2024-07-17 00:00:00,3.1,160.81,257.57578
2023-04-18 00:00:00,2024-07-17 00:00:00,3.1,156.34,257.35557
2023-04-18 01:00:00,2024-07-17 00:00:00,3.1,158.55,265.58706
2023-04-18 02:00:00,2024-07-17 00:00:00,3.1,151.47,274.70611
2023-04-18 03:00:00,2024-07-17 00:00:00,3.1,153.86,272.55796
2023-04-18 04:00:00,2024-07-17 00:00:00,3.1,160.64,274.85293
2023-04-18 05:00:00,2024-07-17 00:00:00,3.1,167.28,288.96393
2023-04-18 06:00:00,2024-07-17 00:00:00,3.1,177.39,306.32555
2023-04-18 07:00:00,2024-07-17 00:00:00,3.1,176.34,297.90579
2023-04-18 08:00:00,2024-07-17 00:00:00,3.1,172.49,272.6973
2023-04-18 09:00:00,2024-07-17 00:00:00,3.1,172.19,259.57006
2023-04-18 10:00:00,2024-07-17 00:00:00,3.1,172.7,273.53862
2023-04-18 11:00:00,2024-07-17 00:00:00,3.1,166.3,288.60514
2023-04-18 12:00:00,2024-07-17 00:00:00,3.1,165.97,285.60781
2023-04-18 13:00:00,2024-07-17 00:00:00,3.1,164.77,266.03442
2023-04-18 14:00:00,2024-07-17 00:00:00,3.1,156.86,250.03846
2023-04-18 15:00:00,2024-07-17 00:00:00,3.1,158.85,249.85515
2023-04-18 16:00:00,2024-07-17 00:00:00,3.1,164.67,258.62864
2023-04-18 17:00:00,2024-07-17 00:00:00,3.1,170.25,262.16605
2023-04-18 18:00:00,2024-07-17 00:00:00,3.1,203.5,254.9536
2023-04-18 19:00:00,2024-07-17 00:00:00,3.1,200.97,250.73575
2023-04-18 20:00:00,2024-07-17 00:00:00,3.1,199.58,257.77749
2023-04-18 21:00:00,2024-07-17 00:00:00,3.1,188.25,263.56546
2023-04-18 22:00:00,2024-07-17 00:00:00,3.1,181.61,262.89061
2023-04-18 23:00:00,2024-07-17 00:00:00,3.1,177.02,258.14287
